Townland,Area( acres ),Barony,Civil parish,Poor law union
Adrigole,293.0,Bear,Kilcaskan,Castletown
Aghabeg,267.0,Bear,Killaconenagh,Castletown
Allihies,834.0,Bear,Kilnamanagh,Castletown
Ardacluggin,232.0,Bear,Kilcatherine,Castletown
Ardagannive,86.0,Bear,Killaconenagh,Castletown
Ardagh,538.0,Bear,Killaconenagh,Castletown
Ardaragh East,197.0,Bear,Killaconenagh,Castletown
Ardaragh West,84.0,Bear,Killaconenagh,Castletown
Ardgroom Inward,1456.0,Bear,Kilcatherine,Castletown
Ardgroom Outward,2243.0,Bear,Kilcatherine,Castletown
Aughabrack,169.0,Bear,Kilcatherine,Castletown
Ballaghboy,229.0,Bear,Kilnamanagh,Castletown
Ballard,193.0,Bear,Killaconenagh,Castletown
Ballard Commons,668.0,Bear,Killaconenagh,Castletown
Ballycrovane,550.0,Bear,Kilcatherine,Castletown
Ballycrovane Island,4.0,Bear,Kilcatherine,Castletown
Ballycrovane Little,1.0,Bear,Kilcatherine,Castletown
Ballydonegan,535.0,Bear,Kilnamanagh,Castletown
Ballynacallagh,412.0,Bear,Kilnamanagh,Castletown
Ballynacarriga,464.0,Bear,Kilnamanagh,Castletown
Ballynahown,135.0,Bear,Kilcaskan,Castletown
Ballynakilla,1010.0,Bear,Killaconenagh,Castletown
Ballynakilla,32.0,Bear,Kilcaskan,Castletown
Bank,95.0,Bear,Killaconenagh,Castletown
Barrees,1098.0,Bear,Kilcatherine,Castletown
Bawn,205.0,Bear,Kilcaskan,Castletown
Bawnard,156.0,Bear,Kilcatherine,Castletown
Billeragh,211.0,Bear,Kilnamanagh,Castletown
Bocarnagh,335.0,Bear,Kilcaskan,Bantry
Bofickil,420.0,Bear,Kilcatherine,Castletown
Boher,36.0,Bear,Killaconenagh,Castletown
Bohernoe,27.0,Bear,Killaconenagh,Castletown
Brackcloon,198.0,Bear,Kilnamanagh,Castletown
Bunskellig,512.0,Bear,Kilcatherine,Castletown
Caheravart,52.0,Bear,Kilcatherine,Castletown
Cahergarriff,341.0,Bear,Killaconenagh,Castletown
Caherkeen,1044.0,Bear,Kilcatherine,Castletown
Cahermeeleboe,530.0,Bear,Kilnamanagh,Castletown
Cametringane,41.0,Bear,Killaconenagh,Castletown
Caminches,249.0,Bear,Kilnamanagh,Castletown
Canalmore,265.0,Bear,Kilnamanagh,Castletown
Canalough,441.0,Bear,Kilnamanagh,Castletown
Canrooska,590.0,Bear,Kilcaskan,Bantry
Canshanavoe,1365.0,Bear,Kilcaskan,Castletown
Cappaghavuckee,89.0,Bear,Killaconenagh,Castletown
Cappaleigh North,123.0,Bear,Kilcaskan,Castletown
Cappaleigh South,115.0,Bear,Kilcaskan,Castletown
Cappanaparka East,171.0,Bear,Kilcaskan,Castletown
Cappanaparka West,273.0,Bear,Kilcaskan,Castletown
Cappyaughna,136.0,Bear,Kilcaskan,Bantry
Carrig,42.0,Bear,Killaconenagh,Castletown
Carrig,47.0,Bear,Kilcatherine,Castletown
Carrigboy,1.0,Bear,Kilcaskan,Castletown
Carrigrour,241.0,Bear,Kilcaskan,Bantry
Clashduff,1066.0,Bear,Kilcaskan,Castletown
Cloan,449.0,Bear,Kilnamanagh,Castletown
Clogfune,732.0,Bear,Kilnamanagh,Castletown
Cloghane Lower,84.0,Bear,Kilnamanagh,Castletown
Cloghane Upper,238.0,Bear,Kilnamanagh,Castletown
Clogher,961.0,Bear,Kilcatherine,Castletown
Clonglaskan,600.0,Bear,Killaconenagh,Castletown
Cloonaghlin,78.0,Bear,Killaconenagh,Castletown
Cloonaghlin Upper,101.0,Bear,Killaconenagh,Castletown
Cloonaghlin West,175.0,Bear,Killaconenagh,Castletown
Cloontree,543.0,Bear,Kilcatherine,Castletown
Clydagh,86.0,Bear,Kilcaskan,Castletown
Commons East,881.0,Bear,Kilcatherine,Castletown
Commons West,581.0,Bear,Kilcatherine,Castletown
Coolieragh,533.0,Bear,Kilcaskan,Bantry
Coom,684.0,Bear,Kilnamanagh,Castletown
Coomarkane,2034.0,Bear,Kilcaskan,Bantry
Coomgira,953.0,Bear,Kilcaskan,Castletown
Coonane,715.0,Bear,Kilcaskan,Bantry
Coorannel,543.0,Bear,Kilcaskan,Bantry
Coulagh,362.0,Bear,Kilcatherine,Castletown
Crooha East,293.0,Bear,Kilcaskan,Castletown
Crooha Middle,183.0,Bear,Kilcaskan,Castletown
Crooha West,205.0,Bear,Kilcaskan,Castletown
Crossterry East,347.0,Bear,Kilcaskan,Bantry
Crossterry West,1050.0,Bear,Kilcaskan,Bantry
Crow Island,6.0,Bear,Kilnamanagh,Castletown
Crumpane,1088.0,Bear,Kilcatherine,Castletown
Curradonohoe,181.0,Bear,Killaconenagh,Castletown
Curraduff,122.0,Bear,Killaconenagh,Castletown
Curraduff,218.0,Bear,Kilcaskan,Castletown
Curragh,27.0,Bear,Killaconenagh,Castletown
Curragh East,369.0,Bear,Kilcaskan,Castletown
Curragh West,22.0,Bear,Kilcaskan,Castletown
Currakeal,124.0,Bear,Kilcaskan,Bantry
Currakillane,381.0,Bear,Kilcaskan,Bantry
Curryglass,145.0,Bear,Killaconenagh,Castletown
Derreen Lower,560.0,Bear,Kilcaskan,Castletown
Derreen Upper,588.0,Bear,Kilcaskan,Castletown
Derreenacarrin,940.0,Bear,Kilcaskan,Castletown
Derreenagarig,144.0,Bear,Kilcaskan,Bantry
Derreenataggart Commons,318.0,Bear,Killaconenagh,Castletown
Derreenataggart East,175.0,Bear,Killaconenagh,Castletown
Derreenataggart Middle,103.0,Bear,Killaconenagh,Castletown
Derreenataggart West,146.0,Bear,Killaconenagh,Castletown
Derreenavroonig,150.0,Bear,Kilcaskan,Bantry
Derreenboy Lower,374.0,Bear,Kilcaskan,Bantry
Derreenboy Upper,432.0,Bear,Kilcaskan,Bantry
Derreennagough,368.0,Bear,Kilcaskan,Bantry
Derreeny,406.0,Bear,Kilcaskan,Castletown
Derryconnery,528.0,Bear,Kilcaskan,Bantry
Derrycreeveen,1085.0,Bear,Killaconenagh,Castletown
Derrylough,295.0,Bear,Kilcaskan,Castletown
Derrymihin East,521.0,Bear,Killaconenagh,Castletown
Derrymihin West,606.0,Bear,Killaconenagh,Castletown
Derrynafulla,768.0,Bear,Kilcaskan,Bantry
Dinish Island,45.0,Bear,Killaconenagh,Castletown
Disert,352.0,Bear,Killaconenagh,Castletown
Doorus,184.0,Bear,Kilcaskan,Bantry
Drom North,170.0,Bear,Killaconenagh,Castletown
Drom South,117.0,Bear,Killaconenagh,Castletown
Drom West,118.0,Bear,Killaconenagh,Castletown
Dromagowlane,240.0,Bear,Kilcaskan,Castletown
Dromateebara,171.0,Bear,Kilcaskan,Castletown
Dromderaown,86.0,Bear,Kilcaskan,Bantry
Dromdour,133.0,Bear,Kilcaskan,Bantry
Dromgare,44.0,Bear,Killaconenagh,Castletown
Dromgarvan,230.0,Bear,Kilcaskan,Castletown
Drumaclarig,117.0,Bear,Kilcaskan,Bantry
Drumlave,364.0,Bear,Kilcaskan,Castletown
Dunboy,203.0,Bear,Killaconenagh,Castletown
Eskenacartan,17.0,Bear,Killaconenagh,Castletown
Esknamucky,153.0,Bear,Kilcaskan,Bantry
Eyeries,604.0,Bear,Kilcatherine,Castletown
Eyeries Island,2.0,Bear,Kilcatherine,Castletown
Faha East,126.0,Bear,Kilcaskan,Castletown
Faha West,250.0,Bear,Kilcaskan,Castletown
Fanahy,976.0,Bear,Killaconenagh,Castletown
Faunkill and the Woods,370.0,Bear,Kilcatherine,Castletown
Felane East,109.0,Bear,Killaconenagh,Castletown
Felane Middle,195.0,Bear,Killaconenagh,Castletown
Felane West,202.0,Bear,Killaconenagh,Castletown
Foildarrig,472.0,Bear,Killaconenagh,Castletown
Fuhur,460.0,Bear,Killaconenagh,Castletown
Furkeal,444.0,Bear,Kilcaskan,Bantry
Garinish,110.0,Bear,Kilnamanagh,Castletown
Garinish,36.0,Bear,Kilcaskan,Bantry
Garinish Island,4.0,Bear,Kilnamanagh,Castletown
Garinish West,5.0,Bear,Kilcaskan,Castletown
Garranes,606.0,Bear,Kilnamanagh,Castletown
Glanarough,215.0,Bear,Kilnamanagh,Castletown
Glenbeg,1203.0,Bear,Kilcatherine,Castletown
Glengarrif,74.0,Bear,Kilcaskan,Bantry
Glenlough,1726.0,Bear,Kilcaskan,Castletown
Gortagenerick,65.0,Bear,Killaconenagh,Castletown
Gortagoulane,20.0,Bear,Killaconenagh,Castletown
Gortagraffer,61.0,Bear,Killaconenagh,Castletown
Gortatornora,17.0,Bear,Kilcatherine,Castletown
Gortgarriff,255.0,Bear,Kilcatherine,Castletown
Gortroe Lower,96.0,Bear,Kilcaskan,Bantry
Gortroe Upper,77.0,Bear,Kilcaskan,Bantry
Gortsallagh,24.0,Bear,Killaconenagh,Castletown
Gour,739.0,Bear,Killaconenagh,Castletown
Gowlane,1171.0,Bear,Kilcatherine,Castletown
Greenane,809.0,Bear,Killaconenagh,Castletown
Illanebeg,7.0,Bear,Kilnamanagh,Castletown
Illaunard,1.0,Bear,Kilnamanagh,Castletown
Illaunbweeheen,2.0,Bear,Kilcatherine,Castletown
Illauncohid,1.0,Bear,Kilnamanagh,Castletown
Illauncreagh,1.0,Bear,Kilcaskan,Castletown
Illaunnamcaula,2.0,Bear,Kilcatherine,Castletown
Inches,850.0,Bear,Kilcatherine,Castletown
Inchintaggart,145.0,Bear,Kilcaskan,Bantry
Inchintaglin,1140.0,Bear,Kilcaskan,Castletown
Inchinteskin,86.0,Bear,Kilcatherine,Castletown
Inishfarnard,64.0,Bear,Kilcatherine,Castletown
Iskanamucky,9.0,Bear,Killaconenagh,Castletown
Kealagowlane,787.0,Bear,Kilcaskan,Castletown
Kealoge,327.0,Bear,Kilnamanagh,Castletown
Keamnalicky,7.0,Bear,Killaconenagh,Castletown
Keeltrasna,156.0,Bear,Kilcaskan,Castletown
Kilcaskan,942.0,Bear,Kilcaskan,Castletown
Kilcatherine,2097.0,Bear,Kilcatherine,Castletown
Kildromalive,425.0,Bear,Kilcaskan,Castletown
Kilkinnikin East,331.0,Bear,Kilnamanagh,Castletown
Kilkinnikin West,401.0,Bear,Kilnamanagh,Castletown
Killenough,83.0,Bear,Kilcaskan,Castletown
Killough East,387.0,Bear,Kilnamanagh,Castletown
Killough West,364.0,Bear,Kilnamanagh,Castletown
Kilmackowen,1154.0,Bear,Kilcatherine,Castletown
Kilmichael,480.0,Bear,Kilnamanagh,Castletown
Knockacullin,80.0,Bear,Killaconenagh,Castletown
Knockane,103.0,Bear,Killaconenagh,Castletown
Knockane More,26.0,Bear,Killaconenagh,Castletown
Knockaneroe,134.0,Bear,Killaconenagh,Castletown
Knockoura,821.0,Bear,Killaconenagh,Castletown
Knockroe East,357.0,Bear,Kilnamanagh,Castletown
Knockroe Middle,339.0,Bear,Kilnamanagh,Castletown
Knockroe West,242.0,Bear,Kilnamanagh,Castletown
Lackavane,620.0,Bear,Kilcaskan,Castletown
Leahill,376.0,Bear,Kilcaskan,Castletown
Leitrim Beg,173.0,Bear,Kilcaskan,Castletown
Leitrim More,93.0,Bear,Kilcaskan,Castletown
Lickbarrahane,241.0,Bear,Kilnamanagh,Castletown
Lickeen East,222.0,Bear,Kilcaskan,Bantry
Lickeen West,149.0,Bear,Kilcaskan,Bantry
Little Island,1.0,Bear,Kilnamanagh,Castletown
Long Island,6.0,Bear,Kilnamanagh,Castletown
Loughane Beg,276.0,Bear,Kilnamanagh,Castletown
Loughane More,387.0,Bear,Kilnamanagh,Castletown
Loughavaul,518.0,Bear,Kilcaskan,Bantry
Loughure Island,2.0,Bear,Kilcaskan,Castletown
Lyre,201.0,Bear,Kilcaskan,Bantry
Lyre,82.0,Bear,Killaconenagh,Castletown
Meenaduff,32.0,Bear,Killaconenagh,Castletown
Minane Island,2.0,Bear,Killaconenagh,Castletown
Minanekeal,1.0,Bear,Killaconenagh,Castletown
Monteensudder,130.0,Bear,Kilcaskan,Bantry
Muccurragh,309.0,Bear,Kilcaskan,Bantry
Orthon's Island,1.0,Bear,Kilcaskan,Castletown
Park,198.0,Bear,Killaconenagh,Castletown
Reen,40.0,Bear,Kilcaskan,Castletown
Reenabulliga,334.0,Bear,Kilcaskan,Castletown
Reenmeen East,133.0,Bear,Kilcaskan,Bantry
Reenmeen West,104.0,Bear,Kilcaskan,Bantry
Reentrusk,1424.0,Bear,Kilnamanagh,Castletown
Rerrin,291.0,Bear,Killaconenagh,Castletown
Rodeen,564.0,Bear,Killaconenagh,Castletown
Roosk,437.0,Bear,Kilcaskan,Castletown
Rossmackowen Commons,2453.0,Bear,Killaconenagh,Castletown
Rossnagrena,429.0,Bear,Kilcaskan,Bantry
Rossnashunsoge,100.0,Bear,Kilcaskan,Bantry
Rougham,1068.0,Bear,Kilcaskan,Bantry
Scart,19.0,Bear,Killaconenagh,Castletown
Scrivoge,210.0,Bear,Kilnamanagh,Castletown
Scrough Island,1.0,Bear,Kilnamanagh,Castletown
Shanacoumha,28.0,Bear,Killaconenagh,Castletown
Shanavallyleigh,85.0,Bear,Killaconenagh,Castletown
Sheelane Island,1.0,Bear,Kilcaskan,Castletown
Shrone,394.0,Bear,Kilcaskan,Bantry
Skehil,323.0,Bear,Kilcaskan,Bantry
Teernahillane,282.0,Bear,Killaconenagh,Castletown
The Bull Island,1.0,Bear,Kilnamanagh,Castletown
The Calf Island,1.0,Bear,Kilnamanagh,Castletown
The Cow Island,1.0,Bear,Kilnamanagh,Castletown
The Woods & Faunkill,370.0,Bear,Kilcatherine,Castletown
Thornhill,219.0,Bear,Killaconenagh,Castletown
Tilickafinna,510.0,Bear,Kilnamanagh,Castletown
Tooreen,556.0,Bear,Kilcaskan,Bantry
Tooreen,9.0,Bear,Killaconenagh,Castletown
Tooreen Beg,155.0,Bear,Killaconenagh,Castletown
Tooreen More East,188.0,Bear,Killaconenagh,Castletown
Tooreen More West,167.0,Bear,Killaconenagh,Castletown
Tooreennagrena,504.0,Bear,Kilcaskan,Castletown
Tracashel,166.0,Bear,Kilcaskan,Kinsale
Trafrask East,194.0,Bear,Kilcaskan,Castletown
Trafrask West,122.0,Bear,Kilcaskan,Castletown
Ulusker,83.0,Bear,Kilcaskan,Castletown
Urhin,1480.0,Bear,Kilcatherine,Castletown
