Round,Overall,Player,Position,College
1.0,21.0,Reggie Nelson,Free Safety,Florida
2.0,48.0,Justin Durant,Linebacker,Hampton
3.0,79.0,Mike Walker,Wide receiver,UCF
4.0,101.0,Adam Podlesh,Punter,Maryland
4.0,113.0,Brian Smith,Defensive end,Missouri
5.0,149.0,Uche Nwaneri,Offensive Guard,Purdue
5.0,150.0,Josh Gattis,Safety,Wake Forest
5.0,166.0,Derek Landri,Defensive Tackle,Notre Dame
7.0,229.0,John Broussard,Wide Receiver,San Jose State
7.0,251.0,Chad Nkang,Strong Safety,Elon
7.0,252.0,Andrew Carnahan,Offensive Tackle,Arizona State
