Stadium,Capacity,City,State/Province,Closed
John F. Kennedy Stadium,100000.0,Philadelphia,Pennsylvania,1992.0
Cleveland Stadium,81000.0,Cleveland,Ohio,1996.0
Tulane Stadium,80985.0,New Orleans,Louisiana,1980.0
Giants Stadium,80242.0,East Rutherford,New Jersey,2010.0
Mile High Stadium,76273.0,Denver,Colorado,2002.0
Miami Orange Bowl,74476.0,Miami,Florida,2008.0
Tampa Stadium,74301.0,Tampa,Florida,1999.0
Gator Bowl Stadium,73227.0,Jacksonville,Florida,1994.0
Kingdome,66000.0,Seattle,Washington,2000.0
Texas Stadium,65675.0,Irving,Texas,2008.0
Veterans Stadium,65386.0,Philadelphia,Pennsylvania,2004.0
Anaheim Stadium,64593.0,Anaheim,California,1994.0
Reliant Astrodome,62439.0,Houston,Texas,2004.0
Atlanta–Fulton County Stadium,60606.0,Atlanta,Georgia,1997.0
Foxboro Stadium,60292.0,Foxboro,Massachusetts,2002.0
Pitt Stadium,60190.0,Pittsburgh,Pennsylvania,1999.0
Riverfront Stadium,59754.0,Cincinnati,Ohio,2002.0
Kezar Stadium,59636.0,San Francisco,California,1971.0
Three Rivers Stadium,59000.0,Pittsburgh,Pennsylvania,2001.0
RCA Dome,57580.0,Indianapolis,Indiana,2008.0
Shea Stadium,57333.0,Queens,New York,2008.0
Yankee Stadium,56936.0,Bronx,New York,2008.0
Memorial Stadium,56652.0,Minneapolis,Minnesota,1982.0
Polo Grounds,55000.0,New York,New York,1964.0
Memorial Stadium,53371.0,Baltimore,Maryland,2001.0
County Stadium,53192.0,Milwaukee,Wisconsin,2001.0
Tiger Stadium,52416.0,Detroit,Michigan,2006.0
Stagg Field,50000.0,Chicago,Illinois,1957.0
Busch Memorial Stadium,49676.0,St. Louis,Missouri,2005.0
Metropolitan Stadium,48446.0,Bloomington,Minnesota,1985.0
Cardinal Stadium,47925.0,Louisville,Kentucky,1998.0
War Memorial Stadium,46500.0,Buffalo,New York,1973.0
Comiskey Park,43951.0,Chicago,Illinois,1990.0
Palmer Stadium,42000.0,Princeton,New Jersey,1997.0
Braves Field,40000.0,Boston,Massachusetts,1955.0
Mountaineer Field,38000.0,Morgantown,West Virginia,1987.0
Stoll Field/McLean Stadium,37000.0,Lexington,Kentucky,1972.0
Municipal Stadium,35561.0,Kansas City,Missouri,1976.0
Forbes Field,35000.0,Pittsburgh,Pennsylvania,1970.0
Clyde Williams Stadium,35000.0,Ames,Iowa,1975.0
Balboa Stadium,34000.0,San Diego,California,1966.0
Shibe Park,33608.0,Philadelphia,Pennsylvania,1970.0
Ebbets Field,32000.0,Brooklyn,New York,1960.0
Robertson Stadium,32000.0,Houston,Texas,2012.0
Rutgers Stadium,31219.0,Piscataway,New Jersey,1993.0
Sportsman's Park,30500.0,St. Louis,Missouri,1965.0
Cartier Field,30000.0,Notre Dame,Indiana,1930.0
DU Stadium,30000.0,Denver,Colorado,1960.0
Fouts Field,30000.0,Denton,Texas,2010.0
New Beaver Field,30000.0,State College,Pennsylvania,1960.0
Old City Stadium,25000.0,Green Bay,Wisconsin,1957.0
