Location,Year,Champion,Runner-up,Score
Valencia,2013.0,Mikhail Youzhny,David Ferrer,"6–3, 7–5"
Valencia,2012.0,David Ferrer,Alexandr Dolgopolov,"6–1, 3–6, 6–4"
Valencia,2011.0,Marcel Granollers,Juan Mónaco,"6–2, 4–6, 7–6 (7–3)"
Valencia,2010.0,David Ferrer,Marcel Granollers,"7–5, 6–3"
Valencia,2009.0,Andy Murray,Mikhail Youzhny,"6–3, 6–2"
Valencia,2008.0,David Ferrer,Nicolás Almagro,"4–6, 6–2, 7–6 (7–2)"
Valencia,2007.0,Nicolás Almagro,Potito Starace,"4–6, 6–2, 6–1"
Valencia,2006.0,Nicolás Almagro,Gilles Simon,"6–2, 6–3"
Valencia,2005.0,Igor Andreev,David Ferrer,"3–6, 7–5, 6–3"
Valencia,2004.0,Fernando Verdasco,Albert Montañés,"7–6 (7–5) , 6–3"
Valencia,2003.0,Juan Carlos Ferrero,Christophe Rochus,"6–2, 6–4"
Majorca,2002.0,Gastón Gaudio,Jarkko Nieminen,"6–2, 6–3"
Majorca,2001.0,Alberto Martín,Guillermo Coria,"6–3, 3–6, 6–2"
Majorca,2000.0,Marat Safin,Mikael Tillström,"6–4, 6–3"
Majorca,1999.0,Juan Carlos Ferrero,Àlex Corretja,"2–6, 7–5, 6–3"
Majorca,1998.0,Gustavo Kuerten,Carlos Moyà,"6–7 (5–7) , 6–2, 6–3"
Marbella,1997.0,Albert Costa,Alberto Berasategui,"6–3, 6–2"
Marbella,1996.0,Marc-Kevin Goellner,Àlex Corretja,"7–6 (7–4) , 7–6 (7–2)"
Valencia,1995.0,Sjeng Schalken,Gilbert Schaller,"6–4, 6–2"
