Season,Teams,K League Classic,K-League Cup,FA Cup,Manager
1996.0,9.0,Runners-up,6th( A ),Runners-up,Kim Ho
1997.0,10.0,5th,6th( A ) 3rd( P ),Quarter-finals,Kim Ho
1998.0,10.0,Champions,6th( A ) 4th( PM ),Quarter-finals,Kim Ho
1999.0,10.0,Champions,Champions( A ) Champions( D ),1st round,Kim Ho
2000.0,10.0,5th,Champions( A ) 8th( D ),Quarter-finals,Kim Ho
2001.0,10.0,3rd,Champions( A ),1st round,Kim Ho
2002.0,10.0,3rd,4th( A ),Champions,Kim Ho
2003.0,12.0,3rd,No competition,Round of 32,Kim Ho
2004.0,13.0,Champions,4th( S ),Round of 16,Cha Bum-Kun
2005.0,13.0,10th,Champions( S ),Round of 16,Cha Bum-Kun
2006.0,14.0,Runners-up,12th( S ),Runners-up,Cha Bum-Kun
2007.0,14.0,3rd,Semi-finals( S ),Round of 16,Cha Bum-Kun
2008.0,14.0,Champions,Champions( S ),Round of 16,Cha Bum-Kun
2009.0,15.0,10th,Quarter-finals( PK ),Champions,Cha Bum-Kun
2010.0,15.0,7th,Semi-finals( PC ),Champions,Cha Bum-Kun Yoon Sung-Hyo
2011.0,16.0,4th,Semi-finals( RC ),Runners-up,Yoon Sung-Hyo
2012.0,16.0,4th,No Competition,Quarter-finals,Yoon Sung-Hyo
