Rank,Heat,Lane,Name,Nationality,150m,Time
1.0,14.0,4.0,Pieter van den Hoogenband,Netherlands,1:19.56,1:47.36
2.0,15.0,4.0,Michael Phelps,USA,1:20.82,1:47.52
3.0,14.0,5.0,Park Tae-Hwan,South Korea,1:20.73,1:47.58
4.0,14.0,2.0,Kenrick Monk,Australia,1:20.47,1:48.00
5.0,14.0,1.0,Nicola Cassio,Italy,1:21.00,1:48.32
6.0,14.0,6.0,Amaury Leveaux,France,1:21.02,1:48.35
7.0,15.0,7.0,Dominik Meichtry,Switzerland,1:20.48,1:48.49
8.0,14.0,3.0,Brent Hayden,Canada,1:20.53,1:48.62
9.0,15.0,5.0,Massimiliano Rosolino,Italy,1:20.48,1:48.63
10.0,13.0,7.0,Brian Johns,Canada,1:21.28,1:48.72
11.0,15.0,6.0,Paul Biedermann,Germany,1:20.97,1:48.84
12.0,13.0,3.0,Zhang Lin,China,1:22.19,1:48.88
13.0,15.0,1.0,Patrick Murphy,Australia,1:21.29,1:49.01
14.0,15.0,3.0,David Carry,Great Britain,1:21.26,1:49.15
15.0,13.0,2.0,Dominik Koll,Austria,1:22.04,1:49.20
16.0,12.0,2.0,László Cseh,Hungary,1:21.78,1:49.47
17.0,12.0,5.0,Nicolas Oliveira,Brazil,1:22.02,1:49.55
18.0,13.0,4.0,Klete Keller,USA,1:22.36,1:49.58
19.0,13.0,1.0,Fabien Gilot,France,1:21.73,1:49.59
20.0,12.0,8.0,Tiago Venancio,Portugal,1:21.74,1:49.63
21.0,11.0,4.0,David Brandl,Austria,1:21.35,1:49.68
22.0,11.0,3.0,Daisuke Hosokawa,Japan,1:21.53,1:49.79
23.0,14.0,7.0,Jean Basson,South Africa,1:21.36,1:49.82
24.0,15.0,8.0,Nikolaos Xylouris,Greece,1:21.72,1:50.04
25.0,13.0,5.0,Simon Burnett,Great Britain,1:22.55,1:50.11
26.0,10.0,4.0,Michal Rokicki,Poland,1:22.33,1:50.12
27.0,15.0,2.0,Stefan Herbst,Germany,1:22.04,1:50.25
28.0,10.0,1.0,Luka Turk,Slovenia,1:22.66,1:50.36
29.0,12.0,3.0,Zhang Enjian,China,1:22.01,1:50.45
30.0,13.0,6.0,Andreas Zisimos,Greece,1:22.05,1:50.48
31.0,12.0,6.0,Květoslav Svoboda,Czech Republic,1:22.35,1:50.50
32.0,13.0,8.0,Andrey Kapralov,Russia,1:21.71,1:50.55
33.0,11.0,5.0,Shai Liwnat,Israel,1:20.79,1:50.60
34.0,14.0,8.0,Olaf Wildeboer,Netherlands,1:22.43,1:50.72
35.0,12.0,1.0,Sergey Perunin,Russia,1:22.48,1:50.78
36.0,12.0,7.0,Rodrigo Castro,Brazil,1:22.08,1:50.79
37.0,10.0,6.0,Andrew McMillan,New Zealand,1:22.85,1:51.10
38.0,10.0,3.0,Christoffer Wikstrom,Sweden,1:21.85,1:51.25
39.0,11.0,1.0,Michal Rubacek,Czech Republic,1:22.79,1:51.31
40.0,11.0,6.0,Takamitsu Kojima,Japan,1:23.04,1:51.32
41.0,10.0,7.0,Michael Jack,New Zealand,1:23.14,1:51.45
42.0,11.0,8.0,Glenn Surgeloose,Belgium,1:22.98,1:51.66
43.0,11.0,7.0,Lukasz Giminski,Poland,1:23.20,1:51.72
44.0,9.0,6.0,Gard Kvale,Norway,1:23.10,1:51.78
45.0,7.0,1.0,Oleksandr Tsepukh,Ukraine,1:22.66,1:51.83
46.0,9.0,4.0,Nabil Kebbab,Algeria,1:23.51,1:51.95
47.0,1.0,6.0,Saulius Binevičius,Lithuania,1:22.82,1:52.22
48.0,9.0,7.0,Dominik Straga,Croatia,1:22.77,1:52.40
49.0,8.0,6.0,Virdhawal Khade,India,1:23.67,1:52.41
50.0,11.0,2.0,Romans Miloslavskis,Latvia,1:22.12,1:52.44
