Rank,Heat : Lane,Name,Nationality,Time
1.0,5 : 4,Craig Stevens,Australia,7:50.72
2.0,4 : 5,Federico Colbertaldo,Italy,7:50.77
3.0,6 : 3,Oussama Mellouli,Tunisia,7:51.48
4.0,6 : 2,Ryan Cochrane,Canada,7:51.55
5.0,6 : 4,Grant Hackett,Australia,7:51.86
6.0,5 : 5,Przemysław Stańczyk,Poland,7:52.40
7.0,4 : 7,Sergiy Fesenko,Ukraine,7:52.64
8.0,4 : 3,Sébastien Rouault,France,7:52.92
9.0,5 : 6,Peter Vanderkaay,USA,7:54.37
10.0,5 : 2,Erik Vendt,USA,7:54.48
11.0,5 : 1,Luka Turk,Slovenia,7:54.58
12.0,6 : 6,Nikita Lobintsev,Russia,7:56.91
13.0,4 : 6,Marcos Rivera Miranda,Spain,7:57.14
14.0,6 : 7,Mads Glæsner,Denmark,7:59.43
15.0,4 : 1,Dragoş Coman,Romania,7:59.91
16.0,4 : 2,Vitaly Romanovich,Russia,7:59.94
17.0,4 : 4,Christian Hein,Germany,8:00.14
18.0,6 : 5,Nicolas Rostoucher,France,8:03.03
19.0,5 : 7,Maciej Hreniak,Poland,8:05.01
20.0,5 : 8,David Brandl,Austria,8:05.48
21.0,3 : 4,Ricardo Monasterio,Venezuela,8:05.81
22.0,3 : 3,Fernando Costa,Portugal,8:06.44
23.0,1 : 7,Sun Yang,China,8:08.12
24.0,3 : 7,Ahmed Mathlouthi,Tunisia,8:09.59
25.0,6 : 1,Felipe Araújo,Brazil,8:10.50
26.0,6 : 8,Armando Negreiros,Brazil,8:11.01
27.0,1 : 2,Ren Chen,China,8:12.32
28.0,3 : 2,Robert Voss,New Zealand,8:13.78
29.0,3 : 6,Florian Janistyn,Austria,8:14.26
30.0,3 : 1,Caglar Gokbulut,Turkey,8:19.08
31.0,4 : 8,Shinya Taniguchi,Japan,8:25.83
32.0,2 : 3,Benjamin Guzman Blanco,Chile,8:26.24
33.0,2 : 5,Mario Montoya,Costa Rica,8:27.47
34.0,2 : 8,Pál Joensen,Faroe Islands,8:30.31
35.0,3 : 8,Irakli Revishvili,Georgia,8:31.52
36.0,2 : 4,Kevin Soow Choy Yeap,Malaysia,8:32.35
37.0,3 : 5,Erwin Maldonado,Venezuela,8:38.69
38.0,2 : 6,Micky van der Vaart,Aruba,8:39.17
39.0,1 : 4,Neil Agius,Malta,8:57.63
40.0,2 : 7,Davor Trnovljakovic,Bosnia and Herzegovina,9:01.70
41.0,1 : 5,Heimanu Sichan,Tahiti,9:09.79
42.0,2 : 1,Timur Kartabaev,Kyrgyzstan,9:27.31
43.0,1 : 3,Cooper Graf,Northern Mariana Islands,10:14.48
999.0,1 : 6,Ibraihm Assah,Ghana,DNS
999.0,2 : 2,Anas Abuyousuf,Qatar,DNS
999.0,5 : 3,Andrew Hurd,Canada,DNS
