Played,Lost,Drawn,Tries,Points,% Won
8.0,2.0,0.0,0.0,59.0,75.0
9.0,5.0,1.0,1.0,74.0,33.33
2.0,0.0,1.0,0.0,22.0,75.0
14.0,6.0,0.0,1.0,101.0,57.14
16.0,12.0,1.0,2.0,127.0,21.88
2.0,0.0,0.0,0.0,23.0,100.0
14.0,0.0,0.0,3.0,180.0,100.0
1.0,0.0,0.0,0.0,23.0,100.0
2.0,0.0,0.0,0.0,21.0,100.0
13.0,13.0,0.0,0.0,38.0,0.0
1.0,0.0,0.0,0.0,0.0,100.0
3.0,0.0,0.0,0.0,14.0,100.0
2.0,0.0,0.0,0.0,30.0,100.0
3.0,0.0,0.0,3.0,62.0,100.0
15.0,4.0,0.0,2.0,125.0,73.33
8.0,6.0,0.0,1.0,56.0,25.0
1.0,0.0,0.0,0.0,10.0,100.0
2.0,0.0,0.0,0.0,18.0,100.0
14.0,6.0,0.0,3.0,100.0,57.14
130.0,52.0,3.0,16.0,1083.0,56.15
