Season,Series,Team Name,Races,Poles,Wins,Points,Position
2005,Formula BMW ADAC,Eifelland Racing,19.0,0.0,0.0,17.0,16th
2006,Formula BMW ADAC,Josef Kaufmann Racing,18.0,9.0,9.0,277.0,1st
2007,German Formula Three,Josef Kaufmann Racing,12.0,2.0,1.0,62.0,6th
2008,Formula 3 Euro Series,Mücke Motorsport,20.0,1.0,1.0,36.0,6th
2009,Formula 3 Euro Series,Mücke Motorsport,18.0,0.0,4.0,75.0,2nd
2009–10,GP2 Asia Series,DAMS,8.0,0.0,1.0,9.0,10th
2010,GP2 Series,Racing Engineering,18.0,0.0,1.0,29.0,9th
2011,GP2 Series,Racing Engineering,14.0,1.0,2.0,35.0,7th
2011,Deutsche Tourenwagen Masters,Persson Motorsport,10.0,0.0,0.0,4.0,14th
2012,Deutsche Tourenwagen Masters,HWA Team,10.0,0.0,0.0,25.0,12th
2013,Deutsche Tourenwagen Masters,HWA Team,7.0,1.0,0.0,71.0,2nd
