Player,Position,Tries,Goals,Points
Robbie Paul,Fullback,10.0,0.0,40.0
Tevita Vaikona,Wing,13.0,0.0,52.0
Graeme Bradley,Centre,11.0,0.0,44.0
Abi Ekoku,Centre,2.0,0.0,8.0
Jon Scales,Wing,4.0,0.0,16.0
Danny Peacock,Stand Off,5.0,0.0,20.0
Neil Harmon,Prop,1.0,0.0,4.0
Kevin Crouthers,Hooker,1.0,0.0,4.0
Nathan Graham,Fullback,1.0,0.0,5.0
Jeremy Donougher,Second Row,3.0,0.0,12.0
Paul Medley,Second Row,1.0,0.0,4.0
Sonny Nickle,Loose Forward,0.0,0.0,0.0
Mike Forshaw,Loose Forward,7.0,0.0,28.0
Paul Anderson,Prop,0.0,0.0,0.0
Warren Jowitt,Prop,1.0,0.0,4.0
Nathan McAvoy,Wing,1.0,0.0,4.0
Harvey Howard,Prop,1.0,0.0,4.0
Matt Calland,Centre,7.0,0.0,28.0
Brian McDermott,Prop,6.0,0.0,24.0
Bernard Dwyer,Hooker,0.0,0.0,0.0
Paul Deacon,Scrum Half,4.0,4.0,24.0
James Lowes,Hooker,9.0,4.0,44.0
Steve McNamara,Loose Forward,1.0,81.0,170.0
Tahi Reihana,Prop,0.0,0.0,0.0
Stuart Spruce,Fullback,8.0,0.0,32.0
Stuart Fielden,Prop,0.0,0.0,0.0
Andy Hodgson,Centre,0.0,0.0,0.0
Michael Banks,Prop,0.0,0.0,0.0
Leon Pryce,Wing,0.0,0.0,0.0
Simon Knox,Loose Forward,0.0,0.0,0.0
Shaun Edwards,Scrum Half,5.0,0.0,20.0
