State,Population,GDP per cap. (PPP),Currency,Gini,Council votes,EP seats
Austria,8443000.0,42409.0,euro,29.1,10.0,19.0
Belgium,11041300.0,37883.0,euro,33.0,12.0,22.0
Bulgaria,7327200.0,14312.0,lev,29.2,10.0,18.0
Croatia,4398000.0,17810.0,kuna,29.0,7.0,12.0
Cyprus,862000.0,27086.0,euro,31.2,4.0,6.0
Czech Republic,10505400.0,27191.0,koruna,25.8,12.0,22.0
Denmark,5580500.0,37657.0,krone,24.7,7.0,13.0
Estonia,1339700.0,21713.0,euro,36.0,4.0,6.0
Finland,5401300.0,36395.0,euro,26.9,7.0,13.0
France,65397900.0,35548.0,euro,32.7,29.0,74.0
Germany,81843700.0,39028.0,euro,28.3,29.0,99.0
Greece,11290900.0,24505.0,euro,34.3,12.0,22.0
Hungary,9957700.0,19638.0,forint,30.0,12.0,22.0
Ireland,4582800.0,41921.0,euro,34.3,7.0,12.0
Italy,60820800.0,30136.0,euro,36.0,29.0,73.0
Latvia,2041800.0,18255.0,lats,35.7,4.0,9.0
Lithuania,3007800.0,21615.0,litas,35.8,7.0,12.0
Luxembourg,524900.0,79785.0,euro,30.8,4.0,6.0
Malta,416100.0,27022.0,euro,25.8,3.0,6.0
Netherlands,16730300.0,42194.0,euro,30.9,13.0,26.0
Poland,38538400.0,20592.0,złoty,34.9,27.0,51.0
Portugal,10541800.0,23385.0,euro,38.5,12.0,22.0
Romania,20121641.0,12808.0,leu,31.5,14.0,33.0
Slovakia,5404300.0,24249.0,euro,25.8,7.0,13.0
Slovenia,2055500.0,28195.0,euro,31.2,4.0,8.0
Spain,46196300.0,30557.0,euro,32.0,27.0,54.0
Sweden,9482900.0,41191.0,krona,25.0,10.0,20.0
United Kingdom,62989600.0,36941.0,pound sterling,36.0,29.0,73.0
Total / Average,508077900.0,33800.0,euro,30.7,352.0,766.0
