Week,Date,Opponent,Result,Attendance
1.0,"September 13, 1942",at Chicago Cardinals,L 7-0,18698.0
2.0,"September 20, 1942",Philadelphia Eagles,W 24-14,6434.0
3.0,"September 27, 1942",at Detroit Lions,W 14-0,14646.0
4.0,"October 4, 1942",Chicago Bears,L 21-7,17161.0
5.0,"October 11, 1942",at Washington Redskins,L 33-14,6329.0
6.0,"October 18, 1942",at Green Bay Packers,L 45-28,16473.0
7.0,"October 25, 1942",Chicago Cardinals,W 7-3,33250.0
8.0,"November 1, 1942",at Brooklyn Dodgers,W 17-0,12000.0
9.0,"November 8, 1942",Green Bay Packers,L 30-12,7896.0
10.0,"November 15, 1942",Detroit Lions,W 27-7,4029.0
11.0,"November 29, 1942",at Chicago Bears,L 47-0,13195.0
