Rank,English title,Chinese title,Average,Peak,Premiere,Finale,HK viewers
1.0,The Family Link,師奶兵團,33.0,42.0,31.0,33.0,2.12 million
2.0,Fathers and Sons,爸爸閉翳,32.0,40.0,31.0,37.0,2.11 million
3.0,Heart of Greed,溏心風暴,32.0,48.0,29.0,40.0,2.08 million
4.0,Ten Brothers,十兄弟,32.0,39.0,29.0,36.0,2.05 million
5.0,On the First Beat,學警出更,31.0,38.0,30.0,35.0,2.03 million
6.0,The Green Grass of Home,緣來自有機,31.0,36.0,29.0,33.0,2.01 million
7.0,Dicey Business,賭場風雲,31.0,37.0,30.0,34.0,1.99 million
8.0,Steps,舞動全城,31.0,36.0,31.0,32.0,1.98 million
9.0,The Drive of Life,歲月風雲,30.0,39.0,31.0,33.0,1.97 million
10.0,War and Destiny,乱世佳人,30.0,35.0,30.0,32.0,1.96 million
