Official Name in Malay,Acronym,Foundation,Type,Location
Politeknik Ungku Omar,PUO,1969.0,Premier Polytechnic (University Status),"Ipoh , Perak"
Politeknik Sultan Haji Ahmad Shah,POLISAS,1976.0,Conventional Polytechnic,"Kuantan , Pahang"
Politeknik Sultan Abdul Halim Muadzam Shah,POLIMAS,1984.0,Conventional Polytechnic,"Jitra , Kedah"
Politeknik Kota Bharu,PKB,1985.0,Conventional Polytechnic,"Ketereh , Kelantan"
Politeknik Kuching Sarawak,PKS,1987.0,Conventional Polytechnic,"Kuching , Sarawak"
Politeknik Port Dickson,PPD,1990.0,Conventional Polytechnic,"Si Rusa , Negeri Sembilan"
Politeknik Kota Kinabalu,PKK,1996.0,Conventional Polytechnic,"Kota Kinabalu , Sabah"
Politeknik Sultan Salahuddin Abdul Aziz Shah,PSA,1997.0,Premier Polytechnic (University Status),"Shah Alam , Selangor"
Politeknik Ibrahim Sultan,PIS,1998.0,Premier Polytechnic (University Status),"Pasir Gudang , Johor"
Politeknik Seberang Perai,PSP,1998.0,Conventional Polytechnic,"Permatang Pauh , Pulau Pinang"
Politeknik Melaka,PMK,1999.0,Conventional Polytechnic,Melaka
Politeknik Kuala Terengganu,PKKT,1999.0,Conventional Polytechnic,"Kuala Terengganu , Terengganu"
Politeknik Sultan Mizan Zainal Abidin,PSMZA,2001.0,Conventional Polytechnic,"Dungun , Terengganu"
Politeknik Merlimau,PMM,2002.0,Conventional Polytechnic,"Merlimau , Melaka"
Politeknik Sultan Azlan Shah,PSAS,2002.0,Conventional Polytechnic,"Behrang , Perak"
Politeknik Tuanku Sultanah Bahiyah,PTSB,2002.0,Conventional Polytechnic,"Kulim , Kedah"
Politeknik Sultan Idris Shah,PSIS,2003.0,Conventional Polytechnic,"Sungai Air Tawar , Selangor"
Politeknik Tuanku Syed Sirajuddin,PTSS,2003.0,Conventional Polytechnic,"Arau , Perlis"
Politeknik Muadzam Shah,PMS,2003.0,Conventional Polytechnic,"Muadzam Shah , Pahang"
Politeknik Mukah Sarawak,PMU,2004.0,Conventional Polytechnic,"Mukah , Sarawak"
Politeknik Balik Pulau,PBU,2007.0,Conventional Polytechnic,"Balik Pulau , Pulau Pinang"
Politeknik Jeli,PJK,2007.0,Conventional Polytechnic,"Jeli , Kelantan"
Politeknik Nilai,PNS,2007.0,Conventional Polytechnic,Negeri Sembilan
Politeknik Banting,PBS,2007.0,Conventional Polytechnic,"Kuala Langat , Selangor"
Politeknik Mersing,PMJ,2008.0,Conventional Polytechnic,"Mersing , Johor"
Politeknik Hulu Terengganu,PHT,2008.0,Conventional Polytechnic,"Kuala Berang , Terengganu"
Politeknik Sandakan,PSS,2009.0,Conventional Polytechnic,"Sandakan , Sabah"
Politeknik METrO Kuala Lumpur,PMKL,2011.0,METrO Polytechnic,Kuala Lumpur
Politeknik METrO Kuantan,PMKU,2011.0,METrO Polytechnic,"Kuantan , Pahang"
Politeknik METrO Johor Bahru,PMJB,2011.0,METrO Polytechnic,"Johor Bahru , Johor"
Politeknik METrO Betong,PMBS,2012.0,METrO Polytechnic,"Kuching , Sarawak"
Politeknik METrO Tasek Gelugor,PMTG,2012.0,METrO Polytechnic,"George Town , Pulau Pinang"
Politeknik Pagoh,TBD,2013.0,Conventional Polytechnic,"Muar , Johor"
