Code,Type,Name,Area (km 2 ),Population,Regional County Municipality,Region
17005.0,M,Saint-Omer,125.35,362.0,L'Islet,12.0
17010.0,V,Saint-Pamphile,136.8,2774.0,L'Islet,12.0
17015.0,M,Saint-Adalbert,213.95,694.0,L'Islet,12.0
17020.0,M,Saint-Marcel,178.86,527.0,L'Islet,12.0
17025.0,M,Sainte-Félicité,95.82,431.0,L'Islet,12.0
17030.0,M,Sainte-Perpétue,284.51,1900.0,L'Islet,12.0
17035.0,M,Tourville,161.51,708.0,L'Islet,12.0
17040.0,M,Saint-Damase-de-L'Islet,259.72,605.0,L'Islet,12.0
17045.0,P,Saint-Cyrille-de-Lessard,228.95,760.0,L'Islet,12.0
17055.0,M,Saint-Aubert,97.15,1370.0,L'Islet,12.0
17060.0,P,Sainte-Louise,73.03,734.0,L'Islet,12.0
17065.0,P,Saint-Roch-des-Aulnaies,48.28,1003.0,L'Islet,12.0
17070.0,M,Saint-Jean-Port-Joli,68.55,3415.0,L'Islet,12.0
17078.0,M,L'Islet,119.44,3876.0,L'Islet,12.0
18005.0,M,Saint-Just-de-Bretenières,132.35,808.0,Montmagny,12.0
18010.0,M,Lac-Frontière,51.33,168.0,Montmagny,12.0
18015.0,P,Saint-Fabien-de-Panet,185.31,1024.0,Montmagny,12.0
18020.0,M,Sainte-Lucie-de-Beauregard,80.18,306.0,Montmagny,12.0
18025.0,P,Sainte-Apolline-de-Patton,255.7,638.0,Montmagny,12.0
18030.0,M,Saint-Paul-de-Montminy,162.8,866.0,Montmagny,12.0
18035.0,M,Sainte-Euphémie-sur-Rivière-du-Sud,93.21,340.0,Montmagny,12.0
18040.0,M,Notre-Dame-du-Rosaire,158.53,391.0,Montmagny,12.0
18045.0,M,Cap-Saint-Ignace,227.76,3225.0,Montmagny,12.0
18050.0,V,Montmagny,125.76,11667.0,Montmagny,12.0
18055.0,P,Saint-Pierre-de-la-Rivière-du-Sud,92.28,915.0,Montmagny,12.0
18060.0,M,Saint-François-de-la-Rivière-du-Sud,95.49,1585.0,Montmagny,12.0
18065.0,M,Berthier-sur-Mer,26.05,1356.0,Montmagny,12.0
18070.0,P,Saint-Antoine-de-l'Isle-aux-Grues,26.4,155.0,Montmagny,12.0
19005.0,P,Saint-Philémon,146.51,824.0,Bellechasse,12.0
19010.0,P,Notre-Dame-Auxiliatrice-de-Buckland,96.32,800.0,Bellechasse,12.0
