Year,Date,Location,Score,Result
2010.0,3 Feb,Lisbon (POR),2-1,Win
2010.0,4 Feb,Lisbon (POR),1-2,Loss
2010.0,5 Feb,Lisbon (POR),0-3,Loss
2010.0,6 Feb,Lisbon (POR),1-2,Loss
2011.0,2 Feb,Eilat (ISR),0-3,Loss
2011.0,3 Feb,Eilat (ISR),0-3,Loss
2011.0,4 Feb,Eilat (ISR),3-0,Win
2011.0,5 Feb,Eilat (ISR),0-2,Loss
2012.0,1 Feb,Eilat (ISR),1-2,Loss
2012.0,2 Feb,Eilat (ISR),0-3,Loss
2012.0,3 Feb,Eilat (ISR),2-1,Win
2012.0,5 Feb,Eilat (ISR),2-0,Win
2013.0,6 Feb,Eilat (ISR),2-1,Win
2013.0,7 Feb,Eilat (ISR),3-0,Win
2013.0,8 Feb,Eilat (ISR),3-0,Win
2013.0,9 Feb,Eilat (ISR),1-2,Loss
