Round,Pick,Name,Position,School
1.0,25.0,Rod Hill,Cornerback,Kentucky State
2.0,53.0,Jeff Rohrer,Linebacker,Yale
3.0,81.0,Jim Eliopulos,Linebacker,Wyoming
4.0,101.0,Brian Carpenter,Defensive Back,Michigan
4.0,109.0,Monty Hunter,Defensive Back,Salem (WV)
5.0,137.0,Phil Pozderac,Offensive Tackle,Notre Dame
6.0,143.0,Ken Hammond,Offensive Guard,Vanderbilt
6.0,165.0,Charles Daum,Defensive Tackle,Cal Poly-SLO
7.0,193.0,Bill Purifoy,Defensive End,Tulsa
8.0,216.0,George Peoples,Running Back,Auburn
8.0,221.0,Dwight Sullivan,Running Back,North Carolina State
9.0,249.0,Joe Gary,Defensive Tackle,UCLA
10.0,277.0,Todd Eckerson,Offensive Tackle,North Carolina State
11.0,295.0,George Thompson,Tight End,Albany State (GA)
11.0,304.0,Mike Whiting,Running Back,Florida State
12.0,332.0,Rich Burtness,Offensive Guard,Montana
