Pick,Round,Player,Position,School
1.0,1,Ricky Bell,Running Back,USC
29.0,2,Dave Lewis,Linebacker,USC
57.0,3,Charley Hannah,Defensive End,Alabama
196.0,8,Randy Hedberg,Quarterback,Minot State
224.0,9,Byron Hemingway,Linebacker,Boston College
251.0,9 (from Oakland),Larry Mucker,Wide Receiver,Arizona State
252.0,10,Robert Morgan,Running Back,Florida
267.0,10 (from San Francisco),Aaron Ball,Linebacker,Cal State-Fullerton
280.0,11,Chuck Rodgers,Defensive Back,North Dakota State
308.0,12,Chip Sheffield,Wide Receiver,Lenoir-Rhyne
