Rank,Name,Team,Goals,Appearances,Minutes played
1.0,Lionel Messi,Barcelona,9.0,12.0,"982'44"""
2.0,Steven Gerrard,Liverpool,7.0,8.0,"580'36"""
2.0,Miroslav Klose,Bayern Munich,7.0,8.0,"680'07"""
4.0,Lisandro López,Porto,6.0,10.0,"943'11"""
5.0,Emmanuel Adebayor,Arsenal,5.0,7.0,"627'33"""
5.0,Alessandro Del Piero,Juventus,5.0,8.0,"688'14"""
5.0,Didier Drogba,Chelsea,5.0,10.0,"702'31"""
5.0,Robin van Persie,Arsenal,5.0,8.0,"716'34"""
5.0,Thierry Henry,Barcelona,5.0,10.0,"717'50"""
5.0,Karim Benzema,Lyon,5.0,8.0,"731'13"""
11.0,Jádson,Shakhtar Donetsk,4.0,5.0,"405'48"""
11.0,Danny Koevermans,PSV Eindhoven,4.0,6.0,"429'16"""
11.0,Joseba Llorente,Villarreal,4.0,7.0,"436'03"""
11.0,Evangelos Mantzios,Panathinaikos,4.0,6.0,"540'23"""
11.0,Dimitar Berbatov,Manchester United,4.0,9.0,"540'53"""
11.0,Alberto Gilardino,Fiorentina,4.0,6.0,"543'52"""
11.0,Franck Ribéry,Bayern Munich,4.0,8.0,"743'32"""
11.0,Samuel Eto'o,Barcelona,4.0,10.0,"810'05"""
11.0,Wayne Rooney,Manchester United,4.0,13.0,"999'10"""
11.0,Cristiano Ronaldo,Manchester United,4.0,12.0,"1055'36"""
