Concession,Date,Grantee,Size,County
San Pedro,1784.0,Juan Jose Dominguez,acres (km2),Los Angeles
Los Nietos,1784.0,Manuel Nieto,acres (km2),Orange and Los Angeles
San Rafael,1784.0,José María Verdugo,acres (km2),Los Angeles
Nuestra Señora del Refugio,1794.0,José Francisco Ortega,acres (km2),Santa Barbara
Los Feliz,1795.0,Jose Vicente Feliz,acres (km2),Los Angeles
Simi,1795.0,"Patrico, Miguel, and Francisco Javier Pico",acres (km2),Ventura
Buena Vista,1795.0,Jose Maria Soberanes & Joaquin Castro,acres (km2),Monterey
Las Salinas,1795.0,Antonio Aceves and Antonio Romero,acres (km2),Monterey
Las Pulgas,1795.0,José Dario Argüello,acres (km2),San Mateo
Las Virgenes,1802.0,Miguel Ortega,acres (km2),Los Angeles
El Conejo,1802.0,Ygnacio Rodriguez and Jose Polanco,acres (km2),Ventura
Topanga Malibu Sequit,1802.0,José Bartolomé Tapia,acres (km2),Los Angeles
Las Animas,1803.0,Mariano Castro,acres (km2),Santa Clara
Los Palos Verdes,1809.0,José Dolores Sepúlveda,acres (km2),Los Angeles
San Ysidro,1809.0,Ygnacio Ortega,acres (km2),Santa Clara
San Antonio,1810.0,Antonio María Lugo,acres (km2),Los Angeles
Santiago de Santa Ana,1810.0,José Antonio Yorba & Juan Pablo Peralta (Nephew),acres (km2),Orange
La Ballona,1819.0,Machado and Talamantes families,acres (km2),Los Angeles
San Antonio,1820.0,Luís María Peralta,acres (km2),Alameda
Rincon de los Bueyes,1821.0,Bernardo Higuera and Cornelio Lopez,acres (km2),Los Angeles
Vega del Rio del Pajaro,1821.0,Antonio Maria Castro,acres (km2),Monterey
Los Tularcitos,1821.0,José Higuera,acres (km2),Santa Clara
