Team,Lost,Tied,Pct.,Years,Total Games,Conference
Old Dominion 1,10.0,0.0,0.7917,4.0,48.0,Independent
Michigan,315.0,36.0,0.7344,133.0,1254.0,Big Ten
Notre Dame,301.0,42.0,0.7334,124.0,1208.0,Independent
Boise State,148.0,2.0,0.723,45.0,538.0,Mountain West
Oklahoma,310.0,53.0,0.7182,118.0,1194.0,Big 12
Ohio State 2,316.0,53.0,0.716,123.0,1206.0,Big Ten
Texas,334.0,33.0,0.71596,120.0,1234.0,Big 12
Alabama 3,321.0,43.0,0.7124,118.0,1191.0,SEC
Southern California 4,319.0,54.0,0.7015,119.0,1159.0,Pac-12
Nebraska,353.0,40.0,0.7014,123.0,1249.0,Big Ten
Tennessee,354.0,53.0,0.6845,116.0,1206.0,SEC
Florida State 5,237.0,17.0,0.6678,66.0,739.0,ACC
Penn State 6,365.0,41.0,0.6585,126.0,1129.0,Big Ten
LSU,393.0,47.0,0.6479,119.0,1183.0,SEC
Georgia,402.0,54.0,0.6469,119.0,1215.0,SEC
Miami (FL),331.0,19.0,0.6343,87.0,931.0,ACC
Florida,387.0,40.0,0.6323,106.0,1107.0,SEC
Auburn,414.0,47.0,0.6277,120.0,1175.0,SEC
South Alabama,15.0,0.0,0.625,4.0,40.0,Sun Belt
Miami (OH),410.0,44.0,0.615,124.0,1122.0,MAC
Washington,424.0,50.0,0.6106,123.0,1153.0,Pac-12
Arizona State,361.0,24.0,0.609,100.0,954.0,Pac-12
Virginia Tech,441.0,46.0,0.6078,119.0,1183.0,ACC
Central Michigan,381.0,36.0,0.601,112.0,1000.0,MAC
West Virginia,463.0,45.0,0.60074,120.0,1216.0,Big 12
Texas A&M,452.0,48.0,0.60067,118.0,1192.0,SEC
Clemson,450.0,45.0,0.6004,117.0,1150.0,ACC
Arkansas,460.0,40.0,0.5946,119.0,1184.0,SEC
Georgia Tech 7,468.0,43.0,0.5934,120.0,1204.0,ACC
Michigan State,436.0,44.0,0.5929,116.0,1125.0,Big Ten
Colorado,463.0,36.0,0.5923,123.0,1170.0,Pac-12
Fresno State,388.0,27.0,0.5907,91.0,981.0,Mountain West
Southern Miss,382.0,26.0,0.59025,96.0,964.0,C-USA
UCLA,386.0,37.0,0.59017,94.0,987.0,Pac-12
Utah,435.0,31.0,0.5882,119.0,1094.0,Pac-12
South Florida,78.0,0.0,0.5873,16.0,189.0,The American
Bowling Green,350.0,52.0,0.5854,94.0,907.0,MAC
Western Kentucky,370.0,30.0,0.5847,94.0,927.0,Sun Belt
Syracuse,496.0,49.0,0.5816,123.0,1244.0,ACC
Boston College,454.0,37.0,0.5777,114.0,1119.0,ACC
Pittsburgh,497.0,42.0,0.5761,123.0,1222.0,ACC
BYU,388.0,26.0,0.5752,88.0,944.0,Independent
Middle Tennessee,396.0,28.0,0.5734,98.0,961.0,C-USA
Army,481.0,51.0,0.5729,123.0,1186.0,Independent
Stanford,437.0,49.0,0.5727,106.0,1080.0,Pac-12
Wisconsin,476.0,53.0,0.5712,124.0,1172.0,Big Ten
Arizona,428.0,33.0,0.5701,109.0,1034.0,Pac-12
Louisiana Tech,427.0,37.0,0.5696,109.0,1035.0,C-USA
Minnesota,488.0,44.0,0.5693,129.0,1184.0,Big Ten
Troy,375.0,28.0,0.5658,92.0,896.0,Sun Belt
Tulsa,454.0,27.0,0.5655,113.0,1076.0,C-USA
Hawaii,397.0,24.0,0.563,96.0,936.0,Mountain West
Texas Tech,410.0,32.0,0.5626,88.0,974.0,Big 12
North Carolina 8,503.0,54.0,0.5623,122.0,1211.0,ACC
California 9,496.0,51.0,0.5595,117.0,1184.0,Pac-12
Oregon,471.0,46.0,0.5593,117.0,1121.0,Pac-12
Ole Miss,492.0,35.0,0.5589,118.0,1155.0,SEC
San Diego State,398.0,32.0,0.5553,90.0,931.0,Mountain West
Western Michigan,419.0,24.0,0.5552,107.0,969.0,MAC
Navy,536.0,57.0,0.5509,132.0,1257.0,Independent
Toledo,406.0,24.0,0.5457,92.0,920.0,MAC
UTSA,10.0,0.0,0.5455,2.0,22.0,C-USA
Air Force,291.0,13.0,0.5451,57.0,654.0,Mountain West
Texas State,411.0,25.0,0.5422,98.0,925.0,Sun Belt
Missouri,532.0,52.0,0.5404,122.0,1214.0,SEC
Nevada,447.0,33.0,0.5351,106.0,997.0,Mountain West
TCU,520.0,57.0,0.534,116.0,1177.0,Big 12
Purdue,515.0,48.0,0.53333,125.0,1155.0,Big Ten
NIU,465.0,51.0,0.5333,111.0,1051.0,MAC
Houston,341.0,15.0,0.5316,67.0,744.0,The American
Iowa,531.0,39.0,0.5283,124.0,1167.0,Big Ten
Virginia,563.0,48.0,0.527,123.0,1241.0,ACC
Maryland,553.0,43.0,0.5264,120.0,1213.0,ACC
Ball State,381.0,32.0,0.524,88.0,834.0,MAC
UCF,186.0,1.0,0.5193,34.0,388.0,The American
East Carolina,378.0,12.0,0.5164,77.0,794.0,C-USA
Illinois,544.0,50.0,0.5162,123.0,1176.0,Big Ten
Louisville,439.0,17.0,0.5146,94.0,922.0,The American
South Carolina,544.0,44.0,0.5095,119.0,1154.0,SEC
Massachusetts,538.0,50.0,0.5083,130.0,1145.0,MAC
Marshall,520.0,47.0,0.5081,113.0,1105.0,C-USA
