Class,State,Name,Party,First took office,Born
3.0,Alaska,Lisa Murkowski,Republican,2002.0,1957.0
1.0,California,Dianne Feinstein,Democratic,1992.0,1933.0
3.0,California,Barbara Boxer,Democratic,1993.0,1940.0
1.0,Hawaii,Mazie Hirono,Democratic,2013.0,1947.0
2.0,Louisiana,Mary Landrieu,Democratic,1997.0,1955.0
2.0,Maine,Susan Collins,Republican,1997.0,1952.0
3.0,Maryland,Barbara Mikulski,Democratic,1987.0,1936.0
1.0,Massachusetts,Elizabeth Warren,Democratic,2013.0,1949.0
1.0,Michigan,Debbie Stabenow,Democratic,2001.0,1950.0
1.0,Minnesota,Amy Klobuchar,Democratic-Farmer-Labor,2007.0,1960.0
1.0,Missouri,Claire McCaskill,Democratic,2007.0,1953.0
1.0,Nebraska,Deb Fischer,Republican,2013.0,1951.0
2.0,New Hampshire,Jeanne Shaheen,Democratic,2009.0,1947.0
3.0,New Hampshire,Kelly Ayotte,Republican,2011.0,1968.0
1.0,New York,Kirsten Gillibrand,Democratic,2009.0,1966.0
2.0,North Carolina,Kay Hagan,Democratic,2009.0,1953.0
1.0,North Dakota,Heidi Heitkamp,Democratic,2013.0,1955.0
3.0,Washington,Patty Murray,Democratic,1993.0,1950.0
1.0,Washington,Maria Cantwell,Democratic,2001.0,1958.0
1.0,Wisconsin,Tammy Baldwin,Democratic,2013.0,1962.0
