Order,Name,Seasons,Games,Goals
884.0,Bret Bailey Category:Articles with hCards,1990,1.0,0.0
885.0,Michael Gurrie Category:Articles with hCards,1990,7.0,2.0
886.0,Trevor Poole Category:Articles with hCards,1990 – 1993,54.0,34.0
887.0,David Welsby Category:Articles with hCards,1990,2.0,1.0
888.0,Brett Hungerford Category:Articles with hCards,1990,2.0,0.0
889.0,Tony Malakellis Category:Articles with hCards,1990 – 1991,14.0,12.0
890.0,Garry Phillips Category:Articles with hCards,1990,3.0,0.0
891.0,Paul Brown Category:Articles with hCards,1990 – 1998,84.0,66.0
892.0,Mark Neeld Category:Articles with hCards,1990 – 1993,48.0,17.0
893.0,Darren Forssman Category:Articles with hCards,1990 – 1994,45.0,35.0
894.0,Michael Mansfield Category:Articles with hCards,1990 – 1999,181.0,100.0
895.0,Stephen Hooper Category:Articles with hCards,1991 – 1993,21.0,0.0
896.0,Sean Simpson Category:Articles with hCards,1991 – 1998,114.0,18.0
897.0,Jamie Lamb Category:Articles with hCards,1991 – 1993,14.0,4.0
898.0,Andrew Wills Category:Articles with hCards,1991 – 1994,59.0,43.0
899.0,Russell Merriman Category:Articles with hCards,1991 – 1993,25.0,31.0
900.0,Trevor Spencer Category:Articles with hCards,1991,10.0,1.0
901.0,John Barnes Category:Articles with hCards,1992 – 1999,144.0,65.0
902.0,Steven Handley Category:Articles with hCards,1992 – 1996,73.0,28.0
903.0,Tim McGrath Category:Articles with hCards,1992 – 2002,219.0,18.0
904.0,Geoff Miles Category:Articles with hCards,1992,20.0,25.0
905.0,Anthony Darcy Category:Articles with hCards,1992,1.0,0.0
906.0,David Mensch Category:Articles with hCards,1992 – 2002,158.0,173.0
907.0,Peter Riccardi Category:Articles with hCards,1992 – 2006,288.0,286.0
908.0,Martin Heffernan Category:Articles with hCards,1992,3.0,1.0
909.0,Andrew Macnish Category:Articles with hCards,1992,3.0,7.0
910.0,Adrian Hickmott Category:Articles with hCards,1992 – 1995,50.0,24.0
911.0,Darren Steele Category:Articles with hCards,1993 – 1994,18.0,7.0
912.0,Leigh Willison Category:Articles with hCards,1993,3.0,4.0
913.0,Stephen O'Reilly Category:Articles with hCards,1993 – 1994,36.0,5.0
914.0,Liam Pickering Category:Articles with hCards,1993 – 1999,102.0,46.0
915.0,Paul Lynch Category:Articles with hCards,1993 – 2000,62.0,55.0
916.0,Leigh Tudor Category:Articles with hCards,1993 – 1996,60.0,53.0
917.0,Leigh Colbert Category:Articles with hCards,1993 – 1998,105.0,50.0
918.0,Ben Graham Category:Articles with hCards,1993 – 2004,219.0,145.0
919.0,Shayne Breuer Category:Articles with hCards,1994 – 1996,71.0,77.0
920.0,Cain Liddle Category:Articles with hCards,1994,4.0,0.0
921.0,Aaron Lord Category:Articles with hCards,"1994 – 1996 , 2002 – 2003",57.0,49.0
922.0,Grant Tanner Category:Articles with hCards,1994 – 1997,69.0,28.0
923.0,Daniel Fletcher Category:Articles with hCards,1994,1.0,0.0
924.0,Cristian O'Brien Category:Articles with hCards,1994 – 1995,2.0,0.0
925.0,Shane Crothers Category:Articles with hCards,1994 – 1995,4.0,0.0
926.0,Robert DiRosa Category:Articles with hCards,1995,3.0,0.0
927.0,Brenton Sanderson Category:Articles with hCards,1995 – 2005,199.0,29.0
928.0,Brad Sholl Category:Articles with hCards,1995 – 2002,169.0,46.0
929.0,Derek Hall Category:Articles with hCards,1995 – 2000,74.0,74.0
930.0,John Cunningham Category:Articles with hCards,1995,2.0,0.0
931.0,James McLure Category:Articles with hCards,1995,3.0,0.0
932.0,Craig Biddiscombe Category:Articles with hCards,1995 – 1998,34.0,6.0
933.0,Tim Allen Category:Articles with hCards,1995,1.0,0.0
934.0,Ronnie Burns Category:Articles with hCards,1996 – 2002,134.0,239.0
935.0,Martin McKinnon Category:Articles with hCards,1996 – 1998,54.0,38.0
936.0,Jason Snell Category:Articles with hCards,1996 – 2001,68.0,62.0
937.0,Glenn Kilpatrick Category:Articles with hCards,1996 – 2002,120.0,31.0
938.0,Steven King Category:Articles with hCards,1996 – 2007,193.0,75.0
939.0,Clint Bizzell Category:Articles with hCards,1996 – 2001,75.0,72.0
940.0,Matthew Robbins Category:Articles with hCards,1996 – 1997,7.0,0.0
941.0,Carl Steinfort Category:Articles with hCards,1996 – 2000,65.0,19.0
942.0,Paul Corrigan Category:Articles with hCards,1997 – 2000,53.0,6.0
943.0,Darren Milburn Category:Articles with hCards,1997 – 2011,292.0,94.0
944.0,Tim Hargreaves Category:Articles with hCards,1997 – 1998,20.0,12.0
945.0,Adam Houlihan Category:Articles with hCards,1997 – 2001,61.0,75.0
946.0,Cameron Roberts Category:Articles with hCards,1997 – 1998,11.0,2.0
947.0,Daniel Lowther Category:Articles with hCards,1997 – 2001,34.0,9.0
948.0,Brett Spinks Category:Articles with hCards,1998,19.0,35.0
949.0,Tim Finocchiaro Category:Articles with hCards,1998 – 1999,10.0,1.0
950.0,Hamish Simpson Category:Articles with hCards,1998 – 2000,18.0,0.0
951.0,James Rahilly Category:Articles with hCards,1998 – 2005,90.0,11.0
952.0,Justin Wood Category:Articles with hCards,1998,7.0,5.0
953.0,Marc Woolnough Category:Articles with hCards,1998 – 2002,6.0,1.0
954.0,Leigh Brockman Category:Articles with hCards,1998,2.0,1.0
955.0,Joel McKay Category:Articles with hCards,1998 – 2000,4.0,0.0
956.0,Matthew Scarlett Category:Articles with hCards,1998 – 2012,284.0,17.0
957.0,Simon Arnott Category:Articles with hCards,1999 – 2000,26.0,20.0
958.0,Scott Bamford Category:Articles with hCards,1999,13.0,10.0
959.0,Tristan Lynch Category:Articles with hCards,1999 – 2000,17.0,7.0
960.0,Jason Mooney Category:Articles with hCards,1999 – 2001,32.0,50.0
961.0,David Wojcinski Category:Articles with hCards,1999 – 2012,203.0,66.0
962.0,David A. Clarke Category:Articles with hCards,1999 – 2003,89.0,48.0
963.0,Paul Lindsay Category:Articles with hCards,1999,2.0,0.0
964.0,Tom Harley Category:Articles with hCards,1999 – 2009,197.0,11.0
