Squad No.,Name,Position,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,FLT Apps,FLT Goals,Playoff Apps,Playoff Goals,Total Apps,Total Goals
1.0,Ian Gray,GK,17,0.0,1,0.0,3,0.0,1,0.0,0,0.0,22,0.0
2.0,Martyn Booty,DF,3 (1),0.0,0,0.0,0,0.0,0,0.0,0,0.0,3 (1),0.0
3.0,Rob Edwards,DF,11 (6),1.0,0,0.0,1,0.0,0,0.0,2 (1),1.0,14 (7),2.0
4.0,Lee Fowler,MF,27 (2),0.0,0,0.0,3,0.0,0,0.0,0 (1),0.0,30 (3),0.0
5.0,Steve Yates,DF,35,1.0,0,0.0,3,0.0,0,0.0,3,0.0,41,1.0
6.0,Ian Hughes,DF,12 (1),1.0,0,0.0,1,0.0,1,0.0,0,0.0,14 (1),1.0
7.0,Tyrone Thompson,MF,1 (1),0.0,0,0.0,0,0.0,0,0.0,0,0.0,1 (1),0.0
8.0,Tony Carss,MF,35 (1),2.0,0,0.0,3,1.0,0,0.0,1,0.0,39 (1),3.0
9.0,Paweł Abbott,FW,7,1.0,0,0.0,0,0.0,0,0.0,1 (1),0.0,8 (1),1.0
9.0,Jon Stead,FW,26,16.0,1,0.0,3,2.0,1,0.0,0,0.0,31,18.0
10.0,Jon Newby,FW,10 (4),0.0,0,0.0,1,0.0,0,0.0,0,0.0,11 (4),0.0
11.0,Danny Schofield,MF,38 (2),8.0,1,0.0,3,0.0,1,0.0,3,1.0,46 (2),9.0
12.0,Gary Harkins,MF,1 (2),0.0,0,0.0,0,0.0,0,0.0,0,0.0,1 (2),0.0
12.0,Chris Holland,MF,0 (3),0.0,1,0.0,0,0.0,1,0.0,0,0.0,2 (3),0.0
13.0,Phil Senior,GK,16,0.0,0 (1),0.0,0,0.0,0,0.0,0,0.0,16 (1),0.0
14.0,Iffy Onuora,FW,0 (3),0.0,0,0.0,0,0.0,0,0.0,2,1.0,2 (3),1.0
14.0,John Thorrington,MF,3 (2),0.0,0,0.0,1,1.0,0,0.0,0,0.0,4 (2),1.0
15.0,Nathan Clarke,DF,25 (1),1.0,1,0.0,1,0.0,0,0.0,0,0.0,27 (1),1.0
16.0,Efe Sodje,DF,37 (2),4.0,1,0.0,2,0.0,0 (1),0.0,3,0.0,43 (3),4.0
17.0,Paul Scott,DF,16 (3),2.0,1,0.0,1,0.0,1,0.0,0 (1),0.0,19 (4),2.0
18.0,Jon Worthington,MF,36 (3),3.0,1,0.0,2,0.0,1,0.0,3,0.0,43 (3),3.0
19.0,Dwayne Mattis,MF,2 (3),0.0,0 (1),0.0,0,0.0,0,0.0,0,0.0,2 (4),0.0
20.0,Nat Brown,DF,13 (8),0.0,0 (1),0.0,0 (2),0.0,0 (1),0.0,0,0.0,13 (12),0.0
21.0,Andy Holdsworth,DF,31 (5),0.0,1,0.0,2,1.0,1,0.0,3,0.0,38 (5),1.0
23.0,Andy Booth,FW,36 (1),13.0,1,0.0,2,1.0,1,0.0,3,0.0,43 (1),14.0
24.0,Anthony Lloyd,DF,30 (1),3.0,1,0.0,0,0.0,1,0.0,3,0.0,35 (1),3.0
25.0,Paweł Abbott,FW,5 (1),4.0,0,0.0,0,0.0,0,0.0,0,0.0,5 (1),4.0
26.0,Adnan Ahmed,MF,0 (1),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0 (1),0.0
27.0,David Mirfin,DF,15 (6),2.0,0,0.0,1,0.0,1,0.0,3,1.0,20 (6),3.0
29.0,Fola Onibuje,FW,0 (2),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0 (2),0.0
29.0,Paul Rachubka,GK,13,0.0,0,0.0,0,0.0,0,0.0,3,0.0,16,0.0
31.0,John McAliskey,FW,5 (3),4.0,0,0.0,0,0.0,0,0.0,0 (2),0.0,5 (5),4.0
