Year,Location,Champion,Second,Third
1996.0,Altenberg,Diana Sartor,Ramona Rahnis,Monique Riekewald
1997.0,Winterberg,Steffi Hanzlik,Ramona Rahnis,Diana Sartor
1998.0,Altenberg,Steffi Hanzlik,Diana Sartor,Ramona Rahnis
1999.0,Königssee,Steffi Hanzlik,Monique Riekewald,Diana Sartor
2000.0,Winterberg,Steffi Hanzlik,Monique Riekewald,Melanie Riedl
2001.0,Königssee,Monique Riekewald,Steffi Hanzlik,Anett Köhler
2002.0,Altenberg,Diana Sartor,Steffi Hanzlik,Anett Köhler
2003.0,Winterberg,Steffi Hanzlik,Kerstin Jürgens,Monique Riekewald
2004.0,Königssee,Kerstin Jürgens,Steffi Jacob,Monique Riekewald
2005.0,Altenberg,Diana Sartor,Kerstin Jürgens,Monique Riekewald
2006.0,Winterberg,Kerstin Jürgens,Anja Huber,Kati Klinzing
2007.0,Königssee,Anja Huber,Kerstin Jürgens,Julia Eichhorn
2008.0,Altenberg,Anja Huber,Kerstin Jürgens,Marion Trott
2009.0,Winterberg,Katharina Heinz,Marion Trott,Julia Eichhorn
2010.0,Altenberg,Kathleen Lorenz,Katharina Heinz,Sophia Griebel
2011.0,Königssee,Anja Huber,Marion Thees,Sophia Griebel
