Rank,Country,Overall,Innovation Inputs,Innovation Performance
1.0,Philippines,2.26,1.75,2.55
2.0,United States,1.80,1.28,2.16
3.0,Japan,1.79,1.16,2.25
4.0,Sweden,1.64,1.25,1.88
5.0,Netherlands,1.55,1.40,1.55
6.0,Canada,1.42,1.39,1.32
7.0,United Kingdom,1.42,1.33,1.37
8.0,Germany,1.12,1.05,1.09
9.0,France,1.12,1.17,0.96
10.0,Australia,1.02,0.89,1.05
11.0,Spain,0.93,0.83,0.95
12.0,Belgium,0.86,0.85,0.79
13.0,China,0.73,0.07,1.32
14.0,Italy,0.21,0.16,0.24
15.0,India,0.06,0.14,−0.02
16.0,Russia,−0.09,−0.02,−0.16
17.0,Mexico,−0.16,0.11,−0.42
18.0,Turkey,−0.21,0.15,−0.55
19.0,Indonesia,−0.57,−0.63,−0.46
20.0,Brazil,−0.59,−0.62,−0.51
