Year,Theme,Artist,Mintage,Issue Price
2002.0,Centre Ice Coin,R.R. Carmichael,"25,000",N/A
2004.0,Elusive Loon,N/A,"25,105",$25.22
2004.0,Sterling Silver Lucky Loonie,"R.R. Carmichael, RCM Staff","19,941",$39.95.
2005.0,40th Anniversary of Canada's Flag,William Woodruff,"5,000",$99.95
2006.0,Baby Lullabies,N/A,N/A,$29.95
2006.0,Baby Lullabies Sterling Silver,N/A,N/A,$79.95
2006.0,Gold Louis,Royal Canadian Mint Engravers,"10,000",$102.95
2006.0,Medal of Bravery,RCM Engravers,"5,000",$109.95
2006.0,Snowflake,N/A,N/A,$34.95
2006.0,Sterling Silver Lucky Loonie,Jean-Luc Grondin,"19,956",$39.95
2007.0,Building Blocks,N/A,N/A,34.95
2007.0,Gold Plated Rattle,N/A,N/A,89.95
2007.0,Rattle,N/A,N/A,34.95
2007.0,Sterling Silver One Dollar,Robert Ralph Carmichael,N/A,$89.95
2007.0,Gold Louis,Royal Canadian Mint Engravers,"10,000",$104.95
2007.0,Thayendanegea Joseph Brant,Adopted from artwork by Laurie McGraw,"7,500",129.95
2008.0,Sterling Silver One Dollar,Robert Ralph Carmichael,N/A,N/A
2008.0,Gold Louis,Royal Canadian Mint Engravers,"10,000",$124.95
