Date,Visitor,Score,Home,Leading scorer,Attendance,Record
1/2,Golden State Warriors,99–121,Dallas Mavericks,Stephen Jackson,20172.0,19–14
1/4,New Orleans Hornets,104–116,Golden State Warriors,Baron Davis,19596.0,19–15
1/7,San Antonio Spurs,130–121,Golden State Warriors,Baron Davis,19107.0,20–15
1/9,Golden State Warriors,91–109,Portland Trail Blazers,Matt Barnes,20415.0,20–16
1/11,Memphis Grizzlies,116–104,Golden State Warriors,Monta Ellis,19224.0,21–16
1/13,Indiana Pacers,106–101,Golden State Warriors,Monta Ellis,19044.0,22–16
1/15,Golden State Warriors,105–98,Minnesota Timberwolves,Baron Davis,10777.0,23–16
1/16,Golden State Warriors,117–125,Indiana Pacers,Baron Davis,11501.0,23–17
1/18,Golden State Warriors,119–111,Chicago Bulls,Baron Davis,21896.0,24–17
1/19,Golden State Warriors,119–99,Milwaukee Bucks,Al Harrington,16615.0,25–17
1/21,Minnesota Timberwolves,108–109,Golden State Warriors,Monta Ellis,19144.0,25–18
1/24,New Jersey Nets,121–119,Golden State Warriors,Monta Ellis,19596.0,26–18
1/27,New York Knicks,106–104,Golden State Warriors,Stephen Jackson,19596.0,27–18
1/29,Golden State Warriors,107–111,Houston Rockets,Stephen Jackson,16586.0,27–19
1/30,Golden State Warriors,116–103,New Orleans Hornets,Stephen Jackson,14410.0,28–19
