Date,Name,Nationality,Casualties,Tonnage,Sunk by…
29 April 1943,McKeesport,United States,1,6198.0,U-258
4 May 1943,Lorient,United Kingdom,46,4737.0,U-125
4 May 1943,North Britain,United Kingdom,29+,4635.0,U-707
5 May 1943,Harbury,United Kingdom,7,5081.0,U-628
5 May 1943,West Maximus,United States,5,5561.0,U-264
5 May 1943,Harperley,United Kingdom,11,4586.0,U-264
5 May 1943,Bristol City,United Kingdom,15,2864.0,U-358
5 May 1943,Wentworth,United Kingdom,5,5212.0,U-358
5 May 1943,Dolius,United Kingdom,4,5507.0,U-638
5 May 1943,West Makadet,United States,0,5565.0,U-584
5 May 1943,Selvistan,United Kingdom,6,5136.0,U-266
5 May 1943,Gharinda,United Kingdom,0,5306.0,U-266
5 May 1943,Bonde,Norway,5,1570.0,U-266
