Rank,Island,Area (km²),Area (sq mi),Country/Countries/Region
132.0,Hisingen,199.0,77.0,Sweden
133.0,Tysnesøy,198.0,77.0,Norway
134.0,Hailuoto,195.0,75.0,Finland
135.0,Tinos,195.0,75.0,Greece
136.0,Paros,194.0,74.0,Greece
137.0,Bruce Island,191.0,73.0,Russia
138.0,Kongsøya,191.0,73.0,"Svalbard , Norway"
139.0,Oléron,190.0,73.0,France
140.0,Tjeldøya,187.0,72.0,Norway
141.0,Moskenesøya,186.0,72.0,Norway
142.0,Fehmarn,185.0,71.0,Germany
143.0,Värmdön,181.0,70.0,Sweden
144.0,Bear Island ( Bjørnøya ),178.0,69.0,"Svalbard , Norway"
145.0,Samothrace,178.0,69.0,Greece
146.0,Karmøy,177.0,68.0,Norway
147.0,Sotra,176.0,68.0,Norway
148.0,Vágar,176.0,68.0,"Faroe Islands , an autonomous region of Denmark"
149.0,Faial Island,173.0,67.0,Portugal
150.0,Bømlo,171.0,66.0,Norway
151.0,Texel,170.0,66.0,Netherlands
152.0,Hareidlandet,166.0,64.0,Norway
153.0,Averøy,165.0,64.0,Norway
154.0,Nansen Island,164.0,63.0,Russia
155.0,Suðuroy,163.0,63.0,"Faroe Islands , an autonomous region of Denmark"
156.0,"Vega, Norway",163.0,63.0,Norway
157.0,Payer Island,160.0,62.0,Russia
158.0,Replot ( Raippaluoto ),160.0,62.0,Finland
159.0,Bremangerlandet,153.0,59.0,Norway
160.0,Alsten,153.0,59.0,Norway
161.0,Milos,151.0,58.0,Greece
162.0,Achill,148.0,57.0,Ireland
163.0,Tjörn,148.0,57.0,Sweden
164.0,Frøya,147.0,57.0,Norway
165.0,Reinøya,147.0,57.0,Norway
166.0,Flores Island,143.0,55.0,Portugal
167.0,Hoy,143.0,55.0,United Kingdom
168.0,Otterøy,143.0,55.0,Norway
169.0,Ertvågsøy,140.0,54.0,Norway
170.0,Rainer Island,140.0,54.0,Russia
171.0,Gurskøy,139.0,53.0,Norway
172.0,Svenskøya,137.0,53.0,"Svalbard , Norway"
173.0,Andørja,135.0,52.0,Norway
174.0,Dønna,135.0,52.0,Norway
175.0,Föglö,132.0,52.0,Åland an autonomous region of Finland
176.0,Heiss Island,132.0,52.0,Russia
177.0,Kea,131.0,51.0,Greece
178.0,Skogerøya,129.0,50.0,Norway
179.0,Rømø,129.0,50.0,Denmark
180.0,Greely Island,127.0,49.0,Russia
181.0,Sandoy,125.0,48.0,"Faroe Islands , an autonomous region of Denmark"
182.0,Bute,122.0,47.0,United Kingdom
183.0,Amorgos,121.0,47.0,Greece
184.0,Unst,121.0,47.0,United Kingdom
185.0,Wilhelmøya,120.0,47.0,"Svalbard , Norway"
186.0,Jersey,119.0,45.0,"Jersey , British Crown dependency"
187.0,Læsø,116.0,45.0,Denmark
188.0,"Sula, Sogn og Fjordane",116.0,45.0,Norway
189.0,Dugi Otok,114.0,44.0,Croatia
190.0,Samsø,114.0,44.0,Denmark
191.0,Fårö,113.0,44.0,Sweden
192.0,Marmara Island,113.0,44.0,Turkey
193.0,Arthur Island,111.0,43.0,Russia
194.0,Kalymnos,111.0,43.0,Greece
195.0,Flakstadøya,110.0,42.0,Norway
196.0,Morzhovets Island,110.0,42.0,Russia
197.0,Grytøya,108.0,41.0,Norway
198.0,Ios,108.0,41.0,Greece
199.0,Sant'Antioco,108.0,41.0,Italy
200.0,Rolla (Troms),107.0,41.0,Norway
201.0,Otava,105.0,40.0,Finland
202.0,Rùm,105.0,40.0,United Kingdom
203.0,Lågøya,104.0,40.0,"Svalbard , Norway"
204.0,Brändö,103.0,40.0,Åland an autonomous region of Finland
205.0,Radøy,103.0,40.0,Norway
206.0,Sandhornøya,103.0,40.0,Norway
207.0,Hadseløya,102.0,39.0,Norway
208.0,Vårdö,102.0,39.0,Åland an autonomous region of Finland
