Rank,Team,Country,Value ($M),% change on year,Revenue ($M)
1.0,Manchester United,England,1864.0,1.0,428.0
2.0,Real Madrid,Spain,1400.0,10.0,537.0
3.0,Arsenal,England,1200.0,1.0,336.0
4.0,Bayern Munich,Germany,1100.0,6.0,396.0
5.0,Barcelona,Spain,975.0,-2.0,488.0
6.0,Milan,Italy,838.0,5.0,289.0
7.0,Chelsea,England,658.0,2.0,313.0
8.0,Juventus,Italy,628.0,-4.0,251.0
9.0,Liverpool,England,552.0,-33.0,276.0
10.0,Internazionale,Italy,441.0,7.0,275.0
11.0,Tottenham Hotspur F.C.,England,412.0,11.0,179.0
12.0,Schalke,Germany,377.0,-2.0,171.0
13.0,Lyon,France,358.0,8.0,179.0
14.0,Hamburg,Germany,340.0,3.0,179.0
15.0,Manchester City,England,291.0,13.0,153.0
16.0,Stuttgart,Germany,281.0,0.0,141.0
17.0,Werder Bremen,Germany,279.0,2.0,147.0
18.0,Marseille,France,277.0,6.0,173.0
19.0,Atlético Madrid,Spain,275.0,6.0,153.0
20.0,Borussia Dortmund,Germany,260.0,-1.0,124.0
