Season,Series,Wins,Podiums,Points,Position
2003.0,Formula BMW ADAC,0.0,0.0,13,19th
2004.0,Formula BMW ADAC,0.0,0.0,37,12th
2005.0,Formula BMW ADAC,0.0,3.0,90,6th
2006.0,German Formula Three,0.0,1.0,11,13th
2006.0,German Formula Three,0.0,2.0,17,11th
2006.0,Austria Formula 3 Cup,1.0,2.0,35,4th
2006.0,Formula 3 Euro Series,0.0,0.0,0,24th
2007.0,Star Mazda Championship,0.0,2.0,217,15th
2007.0,Atlantic Championship,0.0,0.0,0,34th
2008.0,Spanish Formula Three,0.0,4.0,76,3rd
2008.0,Spanish Formula Three,5.0,12.0,110,1st
2009.0,FIA Formula Two Championship,0.0,0.0,2,23rd
2009.0,Formula Le Mans Cup,0.0,2.0,52,10th
2009.0,Radical European Masters,1.0,8.0,133,5th
2010.0,Auto GP,0.0,0.0,1,21st
2010.0,FIA GT1 World Championship,0.0,0.0,0,60th
2010.0,Le Mans 24 Hours,0.0,0.0,N/A,NC
