Rank,Nation,Gold,Silver,Bronze,Total
1.0,Russia,8.0,12.0,10.0,30.0
2.0,China,7.0,4.0,2.0,13.0
3.0,Ukraine,7.0,1.0,1.0,9.0
4.0,Poland,3.0,4.0,2.0,9.0
5.0,Belarus,2.0,2.0,2.0,6.0
6.0,Germany,2.0,1.0,2.0,5.0
6.0,South Africa,2.0,1.0,2.0,5.0
7.0,Australia,2.0,1.0,1.0,4.0
8.0,Japan,2.0,0.0,1.0,3.0
9.0,France,1.0,3.0,0.0,4.0
10.0,Romania,1.0,2.0,2.0,5.0
11.0,Hungary,1.0,2.0,1.0,4.0
12.0,Great Britain,1.0,1.0,2.0,4.0
12.0,Spain,1.0,1.0,2.0,4.0
14.0,Morocco,1.0,1.0,1.0,3.0
15.0,Brazil,1.0,0.0,3.0,3.0
16.0,Czech Republic,1.0,0.0,2.0,3.0
17.0,Moldova,1.0,0.0,0.0,1.0
18.0,Finland,0.0,2.0,1.0,3.0
19.0,Estonia,0.0,1.0,1.0,2.0
19.0,North Korea,0.0,1.0,1.0,2.0
19.0,South Korea,0.0,1.0,1.0,2.0
22.0,Denmark,0.0,1.0,0.0,1.0
22.0,Ireland,0.0,1.0,0.0,1.0
22.0,Jamaica,0.0,1.0,0.0,1.0
22.0,Kazakhstan,0.0,1.0,0.0,1.0
22.0,Uganda,0.0,1.0,0.0,1.0
27.0,Croatia,0.0,0.0,2.0,2.0
28.0,Canada,0.0,0.0,1.0,1.0
28.0,Cyprus,0.0,0.0,1.0,1.0
28.0,Italy,0.0,0.0,1.0,1.0
28.0,Switzerland,0.0,0.0,1.0,1.0
