Municipality,Residents per officer,Cost per capita,Case burden,"Crime rate per 1,000 people"
Abbotsford,685.0,$199,81.0,118.0
Burnaby,808.0,$160,100.0,123.0
Campbell River,770.0,$173,137.0,178.0
Castlegar,711.0,$143,107.0,150.0
Central Saanich,801.0,$181,39.0,49.0
Chilliwack,803.0,$154,140.0,174.0
Coldstream,1443.0,$69,54.0,38.0
Colwood,953.0,$95,73.0,74.0
Comox,1271.0,$75,69.0,56.0
Coquitlam,961.0,$139,96.0,100.0
Courtenay,838.0,$147,155.0,182.0
Cranbrook,824.0,$159,108.0,131.0
Dawson Creek,518.0,$215,116.0,225.0
Delta,680.0,$205,80.0,151.0
Fort St. John,684.0,$213,156.0,228.0
Hope,507.0,$168,91.0,180.0
Kamloops,701.0,$181,118.0,168.0
Kelowna,836.0,$149,125.0,150.0
Kimberley,783.0,$95,60.0,77.0
Kitimat,706.0,$148,49.0,70.0
Ladysmith,1042.0,$95,85.0,81.0
Lake Country,1152.0,$71,104.0,90.0
Langford,910.0,$156,102.0,112.0
Langley (city),584.0,$237,102.0,176.0
Langley (township),794.0,$168,86.0,108.0
Mackenzie,682.0,$141,74.0,108.0
Maple Ridge,931.0,$152,127.0,136.0
Merritt,582.0,$157,133.0,228.0
Mission,739.0,$183,125.0,169.0
Nanaimo,701.0,$183,125.0,178.0
Nelson,576.0,$201,80.0,139.0
New Westminster,537.0,$276,87.0,162.0
North Cowichan,1019.0,$127,100.0,98.0
North Saanich,1127.0,$84,38.0,34.0
North Vancouver (city),736.0,$186,86.0,117.0
North Vancouver (district),972.0,$133,65.0,67.0
Oak Bay,832.0,$194,54.0,65.0
Parksville,901.0,$99,156.0,174.0
Penticton,787.0,$154,130.0,165.0
Pitt Meadows,878.0,$120,89.0,101.0
Port Alberni,550.0,$249,115.0,210.0
Port Coquitlam,976.0,$133,109.0,112.0
Port Moody,711.0,$203,47.0,67.0
Powell River,768.0,$139,88.0,114.0
Prince George,638.0,$201,114.0,179.0
Prince Rupert,416.0,$213,85.0,204.0
Qualicum Beach,1468.0,$53,118.0,81.0
Quesnel,524.0,$259,124.0,237.0
Revelstoke,724.0,$123,76.0,105.0
Richmond,908.0,$152,85.0,191.0
Saanich,751.0,$176,43.0,67.0
Salmon Arm,1000.0,$104,103.0,103.0
Sechelt,890.0,$102,85.0,96.0
Sidney,847.0,$108,46.0,54.0
Smithers,612.0,$170,184.0,301.0
Sooke,1012.0,$99,93.0,92.0
Spallumcheen,1902.0,$47,87.0,46.0
Squamish,637.0,$186,130.0,204.0
Summerland,1267.0,$69,86.0,68.0
Surrey,712.0,$167,90.0,127.0
Terrace,502.0,$184,103.0,206.0
Trail,657.0,$171,97.0,147.0
Vancouver,498.0,$291,58.0,117.0
Vernon,739.0,$165,123.0,167.0
Victoria,440.0,$329,82.0,186.0
View Royal,1048.0,$115,88.0,87.0
West Vancouver,590.0,$222,35.0,60.0
Whistler,425.0,$304,86.0,202.0
White Rock,851.0,$160,72.0,84.0
Williams Lake,516.0,$175,130.0,252.0
Average,687.0,$192,85.0,120.0
