Year,Entrant,Chassis,Engine,Points
1950.0,Blue Crown Spark Plug / Moore,Kurtis Kraft 2000,Offenhauser L4,1.0
1951.0,oil Mobil / Rotary Engineering,Deidt Tuffanelli Derrico,Offenhauser L4,0.0
1952.0,Blue Crown Spark Plug / Earl Slick,Deidt Tuffanelli Derrico,Offenhauser L4,0.0
1953.0,J.C. Agajanian,Kuzma,Offenhauser L4,0.0
1954.0,Automobile Shippers / Casaroll,Kurtis Kraft 4000,Offenhauser L4,0.0
1955.0,H.A. Chapman,Kurtis Kraft 500C,Offenhauser L4,3.0
1956.0,Belanger Motors,Kurtis Kraft 500C,Offenhauser L4,0.0
1957.0,Novi Racing,Kurtis Kraft 500F,Novi V8,0.0
1958.0,Jones & Maley Cars,Epperly Indy Roadster,Offenhauser L4,4.0
1959.0,Hoover Motor Express,Epperly Indy Roadster,Offenhauser L4,3.0
1960.0,Lindsey Hopkins,Watson Indy Roadster,Offenhauser L4,0.0
