Electorate,Incumbent,Winner,Majority,Runner up
Arch Hill,Bill Parry,John Stewart,3965.0,Hope
Ashburton,Richard Geoffrey Gerard,Richard Geoffrey Gerard,2867.0,Rose
Auckland Central,Bill Anderton,Bill Anderton,2168.0,Hillyer
Avon,John Mathison,John Mathison,4212.0,Russell
Awarua,George Richard Herron,George Richard Herron,3755.0,Pickering
Bay of Plenty,Bill Sullivan,Bill Sullivan,4047.0,Santon
Brooklyn,Arnold Nordmeyer,Arnold Nordmeyer,1826.0,Clift
Buller,Clarence Skinner,Clarence Skinner,1227.0,McDonald
Central Otago,William Bodkin,William Bodkin,3620.0,Rodgers
Christchurch Central,Robert Macfarlane,Robert Macfarlane,4103.0,Schumacher
Clutha,James Roy,James Roy,3583.0,Sanders
Dunedin Central,Philip Connolly,Philip Connolly,373.0,Macdougall
Eden,Wilfred Fortune,Wilfred Fortune,2802.0,Burfitt
Egmont,Ernest Corbett,Ernest Corbett,4896.0,Richmond
Fendalton,Sidney Holland,Sidney Holland,4366.0,Alloy
Franklin,Jack Massey,Jack Massey,5358.0,Faulkner
Gisborne,Reginald Keeling,Harry Dudfield,338.0,Reginald Keeling
Grey Lynn,Fred Hackett,Fred Hackett,3813.0,Barry
Hamilton,Hilda Ross,Hilda Ross,2252.0,Waters
Hastings,Sydney Jones,Sydney Jones,1138.0,Beattie
Hauraki,Andrew Sutherland,Andrew Sutherland,4468.0,Dynes
Hawke's Bay,Cyril Harker,Cyril Harker,4153.0,Lowe
Hobson,Sidney Smith,Sidney Smith,5337.0,King
Hurunui,Walter Nash,Walter Nash,2921.0,Andrews
Hutt,Fred Hackett,Fred Hackett,2448.0,Barry
Invercargill,Ralph Hanan,Ralph Hanan,2123.0,Spurdle
Island Bay,Robert McKeen,Robert McKeen,1680.0,Duncan
Karori,Charles Bowden,Charles Bowden,3453.0,Bateman
Lyttelton,Terence McCombs,Harry Lake,133.0,Terence McCombs
Manawatu,Matthew Oram,Matthew Oram,3465.0,Rodgers
Marlborough,Tom Shand,Tom Shand,2452.0,Edwin Meachen
Marsden,Alfred Murdoch,Alfred Murdoch,4001.0,Hosking
Miramar,Bob Semple,Bob Semple,301.0,Taylor
Mornington,Walter Arthur Hudson,Walter Arthur Hudson,3783.0,Pilling
Mount Albert,Warren Freer,Warren Freer,604.0,Judson
Mount Victoria,Jack Marshall,Jack Marshall,2198.0,Kitts
Napier,Tommy Armstrong,Peter Tait,44.0,Tommy Armstrong
Nelson,Edgar Neale,Edgar Neale,2831.0,Stanley Whitehead
New Plymouth,Ernest Aderman,Ernest Aderman,2335.0,Parker
North Dunedin,Robert Walls,Robert Walls,307.0,Cameron
North Shore,Dean Eyre,Dean Eyre,2155.0,Wrathall
Oamaru,Thomas Hayman,Thomas Hayman,1315.0,Ryan
Onehunga,Arthur Osborne,Arthur Osborne,1966.0,Bradley
Onslow,harry Combs,harry Combs,1106.0,Meadowcroft
Otahuhu,Leon Götz,Leon Götz,2128.0,James Deas
Otaki,James Joseph Maher,James Joseph Maher,1142.0,Holloway
Pahiatua,Keith Holyoake,Keith Holyoake,4598.0,Jones
Palmerston North,Blair Tennent,Blair Tennent,200.0,Joe Hodgens
Parnell,Duncan Rae,Duncan Rae,1587.0,Walt
Patea,William Sheat,William Sheat,2467.0,Finer
Petone,Michael Moohan,Michael Moohan,2135.0,Croft
Piako,William Goosman,William Goosman,6364.0,Kenah
Ponsonby,Ritchie Macdonald,Ritchie Macdonald,1504.0,Dempsey
Raglan,Hallyburton Johnstone,Hallyburton Johnstone,1766.0,Wilson
Rangitikei,Edward Gordon,Edward Gordon,3677.0,Dalzell
Remuera,Ronald Algie,Ronald Algie,5346.0,Bob Tizard
Riccarton,Angus McLagan,Angus McLagan,2265.0,Wills
Rodney,Thomas Webb,Thomas Webb,4893.0,Leaming
Roskill,John Rae,John Rae,440.0,Curran
St Albans,Jack Watts,Jack Watts,1415.0,Mora
St Kilda,Fred Jones,James Barnes,336.0,Fred Jones
Selwyn,John McAlpine,John McAlpine,1836.0,Barclay
Sydenham,Mabel Howard,Mabel Howard,4403.0,Stott
Tamaki,Eric Halstead,Eric Halstead,1461.0,Tom Skinner
Tauranga,Frederick Doidge,George Walsh,5400.0,Pickett
Timaru,Clyde Carr,Clyde Carr,564.0,Richards
Waikato,Geoffrey Sim,Geoffrey Sim,6369.0,Bayly
Waimarino,Paddy Kearins,Paddy Kearins,67.0,MacPherson
Waimate,David Kidd,David Kidd,2232.0,Braddick
Wairarapa,Bertie Cooksley,Bertie Cooksley,2032.0,Hansen
Waitakere,Rex Mason,Rex Mason,641.0,Tapper
Waitomo,Walter Broadfoot,Walter Broadfoot,5286.0,Dwyer
Wallace,Thomas MacDonald,Thomas MacDonald,5060.0,Cleary
Wanganui,Joseph Cotterill,Joseph Cotterill,226.0,O'Keefe
Wellington Central,Charles Chapman,Charles Chapman,277.0,Burns
Westland,James Kent,James Kent,2325.0,Brown
Eastern Maori,Tiaki Omana,Tiaki Omana,3706.0,Alfred Carroll
Northern Maori,Tapihana Paikea,Tapihana Paikea,2132.0,James Henare
Southern Maori,Eruera Tirikatene,Eruera Tirikatene,659.0,William Beaton
Western Maori,Iriaka Matiu Ratana,Iriaka Matiu Ratana,7352.0,Hoeroa Marumaru
