Year,Division,League,Regular Season,Playoffs,Open Cup
1998.0,4.0,USISL PDSL,"4th, Central",Division Finals,1st Round
1999.0,4.0,USL PDL,"5th, Heartland",Did not qualify,Did not qualify
2000.0,4.0,USL PDL,"4th, Rocky Mountain",Did not qualify,Did not qualify
2001.0,4.0,USL PDL,"5th, Rocky Mountain",Did not qualify,Did not qualify
2002.0,4.0,USL PDL,"5th, Heartland",Did not qualify,Did not qualify
2003.0,4.0,USL PDL,"5th, Heartland",Did not qualify,Did not qualify
2004.0,4.0,USL PDL,"6th, Heartland",Did not qualify,Did not qualify
2005.0,4.0,USL PDL,"3rd, Heartland",Did not qualify,Did not qualify
2006.0,4.0,USL PDL,"3rd, Heartland",Did not qualify,Did not qualify
2007.0,4.0,USL PDL,"3rd, Heartland",Did not qualify,1st Round
2008.0,4.0,USL PDL,"5th, Heartland",Did not qualify,Did not qualify
2009.0,4.0,USL PDL,"6th, Heartland",Did not qualify,Did not qualify
2010.0,4.0,USL PDL,"7th, Heartland",Did not qualify,Did not qualify
2011.0,4.0,USL PDL,"4th, Heartland",Did not qualify,Did not qualify
2012.0,4.0,USL PDL,"5th, Heartland",Did not qualify,Did not qualify
2013.0,4.0,USL PDL,"4th, Heartland",Did not qualify,Did not qualify
