Heat,Lane,Name,Nationality,Time
7.0,4.0,Inge de Bruijn,Netherlands,57.60
5.0,4.0,Jenny Thompson,United States,57.66
7.0,5.0,Petria Thomas,Australia,58.52
7.0,3.0,Otylia Jędrzejczak,Poland,58.66
6.0,4.0,Dara Torres,United States,58.76
6.0,5.0,Martina Moravcová,Slovakia,58.95
5.0,3.0,Junko Onishi,Japan,59.11
6.0,6.0,Mette Jacobsen,Denmark,59.45
5.0,5.0,Susie O'Neill,Australia,59.49
7.0,8.0,Natalya Sutyagina,Russia,59.50
6.0,3.0,Johanna Sjöberg,Sweden,59.59
5.0,7.0,Franziska van Almsick,Germany,59.72
6.0,7.0,Diana Mocanu,Romania,59.72
4.0,3.0,Sophia Skou,Denmark,59.79
5.0,6.0,Anna-Karin Kammerling,Sweden,59.88
7.0,7.0,Mandy Loots,South Africa,59.94
6.0,1.0,Cécile Jeanson,France,59.96
6.0,2.0,Liu Limin,China,59.98
7.0,2.0,Vered Borochovski,Israel,1:00.34
4.0,4.0,Jen Button,Canada,1:00.83
5.0,8.0,Jessica Deglau,Canada,1:00.97
7.0,6.0,Maki Mita,Japan,1:00.97
4.0,7.0,Fabienne Dufour,Belgium,1:01.15
4.0,8.0,Orsolya Ferenczy,Hungary,1:01.15
7.0,1.0,Ruan Yi,China,1:01.16
6.0,8.0,Joscelin Yeo,Singapore,1:01.28
5.0,2.0,Daniela Samulski,Germany,1:01.31
4.0,6.0,Renate du Plessis,South Africa,1:01.32
4.0,5.0,María Peláez,Spain,1:01.47
4.0,2.0,Margaretha Pedder,Great Britain,1:01.53
5.0,1.0,Yekaterina Vinogradova,Russia,1:01.54
3.0,3.0,Maria Papadopoulou,Cyprus,1:01.64
4.0,1.0,Marja Pärssinen,Finland,1:01.94
3.0,5.0,Zampia Melachroinou,Greece,1:02.06
3.0,2.0,Lee Bo-Eun,South Korea,1:02.22
3.0,8.0,Fabíola Molina,Brazil,1:02.77
3.0,4.0,Praphalsai Minpraphal,Thailand,1:02.99
3.0,6.0,Mariya Ogurtsova,Ukraine,1:03.00
3.0,1.0,Eydis Konrádsdóttir,Iceland,1:03.27
3.0,7.0,Siobhan Cropper,Trinidad and Tobago,1:03.34
2.0,4.0,Hsieh Shu-Ting,Chinese Taipei,1:03.52
2.0,3.0,Yan Kay Flora Kong,Hong Kong,1:04.09
2.0,2.0,Ayse Diker,Turkey,1:04.65
2.0,5.0,María del Pilar Pereyra,Argentina,1:04.75
1.0,4.0,Lisa de la Motte,Swaziland,1:06.70
1.0,3.0,Angela Galea,Malta,1:07.88
2.0,7.0,Ellen Lendra Hight,Zambia,1:09.34
2.0,6.0,Mariya Bugakova,Uzbekistan,1:09.94
1.0,5.0,Tracy Ann Route,Federated States of Micronesia,1:13.53
2.0,1.0,Kenza Bennaceur,Algeria,DNS
