Season,Games,Lost,Tied,Points,Goals for,Goals against,Standing
1969–70,56.0,30.0,3.0,46.0,245.0,275.0,"3rd, West"
1970–71,62.0,39.0,1.0,45.0,263.0,353.0,"9th, QMJHL"
1971–72,62.0,53.0,0.0,18.0,224.0,430.0,"10th, QMJHL"
1972–73,64.0,35.0,1.0,57.0,301.0,377.0,"6th, QMJHL"
1973–74,70.0,37.0,3.0,63.0,362.0,425.0,"4th, West"
1974–75,72.0,39.0,7.0,59.0,335.0,401.0,"5th, West"
1975–76,72.0,41.0,6.0,56.0,310.0,358.0,"5th, West"
1976–77,72.0,35.0,11.0,63.0,325.0,363.0,"3rd, Lebel"
1977–78,72.0,26.0,11.0,81.0,435.0,362.0,"3rd, Lebel"
1978–79,72.0,43.0,7.0,51.0,316.0,469.0,"4th, Lebel"
1979–80,72.0,52.0,7.0,33.0,265.0,499.0,"5th, Lebel"
1980–81,72.0,49.0,2.0,44.0,293.0,396.0,"5th, Lebel"
1981–82,64.0,33.0,1.0,61.0,298.0,326.0,"7th, QMJHL"
1982–83,70.0,17.0,0.0,106.0,452.0,305.0,"1st, Lebel"
1983–84,70.0,16.0,0.0,108.0,527.0,289.0,"1st, Lebel"
1984–85,68.0,35.0,1.0,61.0,314.0,358.0,"4th, Lebel"
1985–86,72.0,34.0,1.0,75.0,406.0,386.0,"3rd, Lebel"
1986–87,70.0,32.0,4.0,72.0,377.0,340.0,"2nd, Lebel"
1987–88,70.0,25.0,2.0,88.0,385.0,346.0,"2nd, Lebel"
1988–89,70.0,26.0,1.0,87.0,361.0,292.0,"2nd, QMJHL"
1989–90,70.0,30.0,3.0,77.0,332.0,274.0,"5th, QMJHL"
1990–91,70.0,30.0,3.0,77.0,273.0,242.0,"3rd, Lebel"
1991–92,70.0,27.0,5.0,81.0,306.0,276.0,"3rd, Lebel"
1992–93,70.0,25.0,2.0,88.0,367.0,277.0,"1st, Lebel"
1993–94,72.0,22.0,1.0,99.0,346.0,247.0,"1st, Lebel"
1994–95,72.0,22.0,2.0,98.0,302.0,232.0,"1st, Lebel"
1995–96,70.0,54.0,2.0,30.0,219.0,404.0,"7th, Lebel"
1996–97,70.0,40.0,3.0,57.0,260.0,314.0,"5th, Lebel"
1997–98,70.0,28.0,5.0,79.0,276.0,220.0,"5th, Lebel"
