Country,Total population (1000),Total Foreign-born (1000),Born in other EU state (1000),Born in a non EU state (1000)
EU 27,501098.0,47348.0,15980.0,31368.0
Germany,81802.0,9812.0,3396.0,6415.0
France,64716.0,7196.0,2118.0,5078.0
United Kingdom,62008.0,7012.0,2245.0,4767.0
Spain,45989.0,6422.0,2328.0,4094.0
Italy,60340.0,4798.0,1592.0,3205.0
Netherlands,16575.0,1832.0,428.0,1404.0
Greece,11305.0,1256.0,315.0,940.0
Sweden,9340.0,1337.0,477.0,859.0
Austria,8367.0,1276.0,512.0,764.0
Belgium (2007),10666.0,1380.0,695.0,685.0
Portugal,10637.0,793.0,191.0,602.0
Denmark,5534.0,500.0,152.0,348.0
