Week,Opponent,Result,Game site,Attendance
1.0,at Denver Broncos,L 7–9,Mile High Stadium,74796.0
2.0,at Minnesota Vikings,W 36–10,Metropolitan Stadium,47186.0
3.0,Seattle Seahawks,W 20–10,Oakland-Alameda County Coliseum,45725.0
4.0,at Detroit Lions,L 0–16,Pontiac Silverdome,77819.0
5.0,Denver Broncos,L 0–17,Oakland-Alameda County Coliseum,51035.0
6.0,at Kansas City Chiefs,L 0–27,Arrowhead Stadium,76543.0
7.0,Tampa Bay Buccaneers,W 18–16,Oakland-Alameda County Coliseum,42288.0
8.0,Kansas City Chiefs,L 17–28,Oakland-Alameda County Coliseum,42914.0
9.0,New England Patriots,W 27–17,Oakland-Alameda County Coliseum,44246.0
10.0,at Houston Oilers,L 16–17,Houston Astrodome,45519.0
11.0,at Miami Dolphins,W 33–17,Miami Orange Bowl,61777.0
12.0,San Diego Chargers,L 21–55,Oakland-Alameda County Coliseum,50199.0
13.0,at Seattle Seahawks,W 32–31,The Kingdome,57147.0
14.0,Pittsburgh Steelers,W 30–27,Oakland-Alameda County Coliseum,51769.0
15.0,Chicago Bears,L 6–23,Oakland-Alameda County Coliseum,40384.0
16.0,at San Diego Chargers,L 10–23,San Diego Stadium,52279.0
