Animal,Bahia,Pernambuco,Ceará,Rio G do Norte,Alagoas,Northeast Total,BR Ranking & %
Goats,3187839.0,1595069.0,976880.0,401510.0,67549.0,8633722,1st - 91.36%
Sheep,3096155.0,1256270.0,1998165.0,514224.0,201273.0,9286258,1st - 57.19%
Cattle,11385722.0,2219892.0,2424290.0,1010238.0,1112125.0,28711240,4th - 14.38%
Milk x1000 lit,965799.0,662078.0,416453.0,214044.0,242740.0,3335286,4th - 12.77%
Pigs,1904699.0,495957.0,1132673.0,182598.0,144652.0,6747013,2nd - 18.77%
Chickens +family,29110700.0,31916818.0,24063274.0,4817525.0,5714782.0,131731022,3rd - 11.69%
Chickens eggs ~,75216.0,142518.0,109464.0,28729.0,28955.0,466432 ~,3rd - 15.73%
Quails,318585.0,605371.0,82813.0,51741.0,122297.0,1400201,2nd - 18.46%
Quails eggs ~,3788.0,9390.0,826.0,838.0,1044.0,18257 ~,2nd - 13.94%
Horses,621122.0,125976.0,141370.0,42933.0,56962.0,1430408,2nd - 25.53%
Donkeys,308904.0,100944.0,201079.0,57955.0,10704.0,1063012,1st - 91.39%
s Mule,322241.0,54812.0,90367.0,21277.0,21485.0,687523,1st - 51.19%
Buffalos,17303.0,19239.0,1631.0,875.0,1747.0,119978,3rd - 10.60%
Rabbits,31491.0,2383.0,1953.0,405.0,692.0,36924,3rd - 12.71%
Honey s tonne,2200.0,1177.0,3137.0,611.0,170.0,11598,2nd - 33.38%
