Year,Crime Index Total,Violent crime,Non-violent Crime,Crime rate Per 1000,Violent crime Rate per 1000,Non-violent crime Rate per 1000,Murder,Rape,Robbery,Aggravated Assault
1994.0,1740.0,386.0,1354.0,103.6,23.0,80.6,2.0,20.0,175.0,189.0
1995.0,1461.0,290.0,1171.0,93.6,18.6,75.0,2.0,11.0,147.0,130.0
1996.0,1590.0,305.0,1285.0,101.9,19.5,82.3,2.0,23.0,139.0,141.0
1997.0,1525.0,357.0,1168.0,89.1,20.8,68.2,1.0,11.0,190.0,155.0
1998.0,1240.0,251.0,989.0,72.4,14.7,57.8,0.0,16.0,116.0,119.0
1999.0,1183.0,302.0,881.0,69.4,17.7,51.7,3.0,16.0,139.0,144.0
2000.0,1224.0,337.0,887.0,72.3,19.9,52.4,1.0,13.0,161.0,162.0
2001.0,1431.0,398.0,1033.0,84.5,23.5,61.0,5.0,14.0,184.0,195.0
2002.0,1260.0,347.0,913.0,74.4,20.5,53.9,3.0,9.0,172.0,163.0
2003.0,1293.0,378.0,915.0,77.0,22.5,54.5,2.0,7.0,183.0,186.0
2004.0,1429.0,360.0,1069.0,85.6,21.6,64.0,3.0,5.0,196.0,156.0
2005.0,1313.0,346.0,967.0,78.1,20.6,57.5,3.0,10.0,148.0,185.0
2006.0,1305.0,387.0,918.0,78.5,23.3,55.2,8.0,7.0,194.0,178.0
2007.0,1070.0,351.0,719.0,64.7,21.2,43.5,6.0,11.0,184.0,150.0
2008.0,1265.0,319.0,946.0,76.3,19.2,57.1,1.0,6.0,153.0,159.0
2009.0,1370.0,353.0,1017.0,82.8,21.3,61.5,2.0,6.0,178.0,167.0
2010.0,1491.0,344.0,1147.0,92.5,21.3,71.2,3.0,13.0,188.0,140.0
2011.0,1540.0,260.0,1280.0,95.6,16.1,79.4,4.0,11.0,114.0,131.0
