Position,Artist,Song,Points,Place
1.0,Afro-Dite,""" Never Let It Go """,248.0,1st
2.0,Brandsta City Släckers,"""Kom och ta mig""",88.0,5th
3.0,Javiera Muñoz,"""No hay nada más""",71.0,6th
4.0,Barbados,"""Världen utanför""",90.0,4th
5.0,Hanna Hedlund & Lina Hedlund,"""Big Time Party""",43.0,9th
6.0,Östen med Resten,"""Hon kommer med solsken""",33.0,10th
7.0,Friends,"""The One That You Need""",46.0,8th
8.0,"Kikki, Bettan & Lotta",""" Vem é dé du vill ha """,100.0,3rd
9.0,Jan Johansen,"""Sista andetaget""",65.0,7th
10.0,Mendez,"""Adrenaline""",162.0,2nd
