Year,Award,Category,Nominated Work,Result
2007.0,Mobo Awards,Best Songwriter,""" Bed "" (songwriter)",Nominated
2008.0,American Music Awards,T-Mobile Breakthrough Artist,The-Dream,Nominated
2008.0,BET Awards,Best New Artist,The-Dream,Won
2008.0,Grammy Awards,Song of the Year,"""Umbrella"" (songwriter)",Nominated
2008.0,Ozone Awards,Best R&B Artist,The-Dream,Nominated
2009.0,BET Awards,Best Male R&B Artist,The-Dream,Nominated
2009.0,BET Hip-Hop Awards,Viewer's Choice,""" Throw It in the Bag "" with Fabolous",Won
2010.0,Grammy Awards,Song of the Year,""" Single Ladies (Put a Ring on It) "" (songwriter)",Won
2010.0,Grammy Awards,Album of the Year,I Am... Sasha Fierce (songwriter),Nominated
2010.0,Grammy Awards,Best R&B Song,""" Single Ladies (Put a Ring on It) "" (songwriter)",Won
2011.0,Grammy Awards,Song of the Year,""" All of the Lights "" (songwriter)",Nominated
2011.0,Grammy Awards,Best Rap Song,""" All of the Lights "" (songwriter)",Won
2012.0,Grammy Awards,Best Rap/Sung Collaboration,""" No Church in the Wild """,Won
