Title,"Bugs , Daffy , or Both?",Year,Director,Series
14 Carrot Rabbit,Bugs,1952.0,Friz Freleng,LT
Ali Baba Bunny,Both,1957.0,Chuck Jones,MM
Buccaneer Bunny,Bugs,1948.0,Friz Freleng,LT
Bugs' Bonnets,Bugs,1956.0,Chuck Jones,MM
A Star Is Bored,Both,1956.0,Friz Freleng,LT
A Pest in the House,Daffy,1947.0,Chuck Jones,MM
Transylvania 6-5000,Bugs,1963.0,Chuck Jones,MM
Oily Hare,Bugs,1952.0,Robert McKimson,MM
Stupor Duck,Daffy,1956.0,Robert McKimson,LT
The Stupor Salesman,Daffy,1948.0,Arthur Davis,LT
The Abominable Snow Rabbit,Both,1961.0,Chuck Jones,LT
The Super Snooper,Daffy,1952.0,Robert McKimson,LT
"Up-Standing Sitter, The",Daffy,1948.0,Robert McKimson,LT
Hollywood Daffy,Daffy,1946.0,Friz Freleng - uncredited,MM
You Were Never Duckier *,Daffy,1948.0,Chuck Jones,MM
