Rank,Player,From,Transfer fee ( € million),Year
1.0,Ruud van Nistelrooy,PSV,30.5,2001.0
2.0,Wesley Sneijder,Ajax,27.0,2007.0
2.0,Klaas-Jan Huntelaar,Ajax,27.0,2009.0
4.0,Luis Suárez,Ajax,26.5,2011.0
5.0,Kevin Strootman,PSV,20.0,2013.0
5.0,Afonso Alves,Heerenveen,20.0,2008.0
7.0,Arjen Robben,PSV,18.1,2004.0
8.0,Cristian Chivu,Ajax,18.0,2003.0
8.0,Dirk Kuyt,Feyenoord,18.0,2006.0
10.0,Jaap Stam,PSV,17.0,1998.0
10.0,Ryan Babel,Ajax,17.0,2007.0
12.0,Zlatan Ibrahimović,Ajax,16.9,2004.0
13.0,Miralem Sulejmani,Heerenveen,16.25,2008.0
14.0,Dennis Bergkamp,Ajax,16.0,1993.0
15.0,Ronaldo,PSV,15.5,1996.0
16.0,Luuk de Jong,Twente,15.0,2012.0
17.0,Wilfried Bony,Vitesse,14.0,2013.0
17.0,Balázs Dzsudzsák,PSV,14.0,2011.0
17.0,Royston Drenthe,Feyenoord,14.0,2007.0
17.0,Heurelho Gomes,PSV,14.0,2008.0
21.0,Christian Eriksen,Ajax,13.5,2013.0
22.0,Strootman & Mertens,Utrecht,13.0,2011.0
23.0,Salomon Kalou,Feyenoord,12.6,2006.0
24.0,Bryan Ruiz,Twente,12.0,2011.0
24.0,Ahmed Hossam,Ajax,12.0,2003.0
24.0,Thomas Vermaelen,Ajax,12.0,2009.0
24.0,Arouna Koné,PSV,12.0,2007.0
28.0,Frank de Boer,Ajax,11.0,1998.0
29.0,John Heitinga,Ajax,10.0,2008.0
29.0,Jefferson Farfán,PSV,10.0,2008.0
