Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. Chalatenango,18.0,4.0,4.0,29.0,16.0,34.0
2.0,C.D. FAS,18.0,3.0,6.0,27.0,21.0,30.0
3.0,A.D. Isidro Metapán,18.0,5.0,5.0,31.0,24.0,29.0
4.0,C.D. Luis Ángel Firpo,18.0,6.0,5.0,23.0,17.0,27.0
5.0,C.D. Vista Hermosa,18.0,3.0,7.0,24.0,25.0,27.0
6.0,C.D. Águila,18.0,4.0,7.0,23.0,20.0,25.0
7.0,Alianza F.C.,18.0,6.0,6.0,26.0,28.0,24.0
8.0,Nejapa F.C.,18.0,7.0,6.0,31.0,34.0,22.0
9.0,San Salvador F.C.,16.0,6.0,9.0,20.0,35.0,15.0
10.0,Once Municipal,18.0,2.0,12.0,8.0,22.0,14.0
