Name,Championship,FA Cup,League Cup,Total
Dave Kitson,18.0,0.0,4.0,22.0
Kevin Doyle,18.0,1.0,0.0,19.0
Leroy Lita,11.0,3.0,1.0,15.0
Steve Sidwell,10.0,0.0,0.0,10.0
James Harper,7.0,0.0,0.0,7.0
Bobby Convey,7.0,0.0,0.0,7.0
Glen Little,5.0,0.0,0.0,5.0
Brynjar Gunnarsson,4.0,0.0,0.0,4.0
s Own goal,4.0,0.0,0.0,4.0
Shane Long,3.0,1.0,0.0,4.0
Ibrahima Sonko,3.0,0.0,0.0,3.0
Ívar Ingimarsson,2.0,0.0,0.0,2.0
Nicky Shorey,2.0,0.0,0.0,2.0
Stephen Hunt,2.0,0.0,0.0,2.0
John Oster,1.0,0.0,1.0,2.0
Graeme Murty,1.0,0.0,0.0,1.0
John Halls,1.0,0.0,0.0,1.0
TOTALS,99.0,6.0,6.0,111.0
