Round,Name,Position,School,Signed
1.0,Pat Brown,OF,University of Texas at Austin,No Yankees - 1969
2.0,Robert Bosson,1B,Columbia University,No
3.0,Larry Burchart,RHP,Oklahoma State University,Yes
4.0,Raldolph Kohn,C,University of Georgia,Yes
5.0,Samuel Scheschuk,C,University of Texas at Austin,Yes
6.0,Jack Creel,RHP,Gulf Coast Community College,Yes
7.0,David Speas,3B,San Diego Mesa College,Yes
8.0,Walter Adey,LHP,Hudson Valley Community College,Yes
9.0,Jom Keirns,OF,Central State University,No
10.0,Lucky Thompson,SS,"University of California, San Diego",No Cardinals - 1968
11.0,Clarence Cleveland,OF,Chipola College,No Phillies - 1971
12.0,Larry Linville,OF,Arizona State University,No White Sox - 1968
13.0,Patrick O'Brien,LHP,University of Arizona,No
14.0,Bruce Wade,RHP,El Camino College,No
15.0,Richard Binder,LHP,University of Illinois at Urbana-Champaign,No
16.0,Douglas Brittele,RHP,"Rutgers, the State University of New Jersey",No
17.0,Glenn Bisbing,3B,Rider University,No Reds - 1968
