Player,Height,Position,Year born,Current Club
Uvis Helmanis,2.03,Forward,1972.0,BK Ventspils
Aigars Vītols,1.94,Guard,1976.0,BK Ventspils
Armands Šķēle,1.92,Guard,1983.0,Barons Riga
Jānis Blūms,1.88,Guard,1982.0,Basket Napoli
Raimonds Vaikulis,1.91,Guard,1980.0,Barons Riga
Gatis Jahovičs,2.0,Forward,1984.0,ASK Rīga
Sandis Valters,1.9,Guard,1978.0,ASK Rīga
Pāvels Veselovs,2.07,Forward,1984.0,BK Ventspils
Kaspars Cipruss,2.11,Center,1982.0,BK Ventspils
Raitis Grafs,2.1,Center,1981.0,ASK Rīga
Kristaps Janičenoks,1.96,Forward,1983.0,Fortitudo Bologna
Andris Biedriņš,2.11,Center,1986.0,Golden State Warriors
