Season,Name,Hometown,Profession,Status,Finish
1.0,William Collins,"Philadelphia , PA",Politician,Evicted: Day 16,10th
1.0,Jean Jordan,"Roanoke , VA",Exotic Dancer,Evicted: Day 29,9th
1.0,Karen Fowler,"Columbus , IN",Mother,Evicted: Day 43,8th
1.0,Brittany Petros,"Robbinsdale , MN",Actress,Evicted: Day 57,7th
1.0,Cassandra Waldon,"Havre de Grace , MD",UN communications director,Evicted: Day 71,6th
1.0,George Boswell,"Rockford , IL",Roofer,Evicted: Day 78,5th
1.0,Jamie Kern,"Seattle , WA",Model,Evicted: Day 85,4th
1.0,Curtis Kin,"New York City , NY",Lawyer,Finalist: Day 88,3rd
1.0,Joshua Souza,"San Luis Obispo , CA",Civil engineering student,Finalist: Day 88,Runner-up
1.0,Eddie McGee,"Commack , NY",Entertainment industry,Finalist: Day 88,Winner
2.0,Justin Sebik,"Bayonne , NJ",Bartender,Expelled: Day 10,12th
2.0,Sheryl Braxton,"Ponte Vedra Beach , FL",Interior decorator,Evicted: Day 12,11th
2.0,Autumn Daly,"Irving , TX",Aspiring singer,Evicted: Day 19,10th
2.0,Shannon Dragoo,"San Antonio , TX",Realtor,Evicted: Day 26,9th
2.0,"Mike ""Boogie"" Malin","Los Angeles , CA",Bar owner,Evicted: Day 33,8th
2.0,Kent Blackwelder,"Powell , TN",Mortgage broker,Evicted: Day 40,7th
2.0,Krista Stegall,"Opelousas , LA",Waitress,Evicted: Day 47,6th
2.0,"Bill ""Bunky"" Miller","Harrisburg , NC",Technical writer,Evicted: Day 61,5th
2.0,Hardy Ames-Hill,"York , PA",Account executive,Evicted: Day 68,4th
2.0,Monica Bailey,"Brooklyn , NY",Candy store manager,Evicted: Day 77,3rd
2.0,Nicole Nilson Schaffrich,"Atlanta , GA",Personal chef,Finalist: Day 82,Runner-up
2.0,Will Kirby,"Miami , FL",Physician,Finalist: Day 82,Winner
3.0,Lori Olsen,"Foxboro , WI",Bank representative,Evicted: Day 13,12th
3.0,Tonya Paoni,"Las Vegas , NV",Retail sales,Evicted: Day 20,11th
3.0,Eric Ouellette,"Milford , CT",Firefighter,Evicted: Day 34,10th
3.0,Josh Feinberg,"Long Island , NY",Waiter,Evicted: Day 41,9th
3.0,Chiara Jude Berti,"New York City , NY",Marketing representative,Evicted: Day 48,8th
3.0,"Gerald ""Gerry"" Lancaster","Shadow Hills , CA",Teacher,Evicted: Day 55,7th
3.0,Roddy Mancuso,"Morristown , NJ",Writer,Evicted: Day 62,6th
3.0,Marcellas Reynolds,"Chicago , IL",Fashion stylist,Evicted: Day 69,5th
