County,Kerry%,Kerry#,Bush%,Bush#,Others%,Others#
Adams,33.4%,10511.0,66.2%,20834.0,0.4%,132.0
Alexander,52.1%,2016.0,47.3%,1831.0,0.7%,26.0
Bond,43.8%,3228.0,55.2%,4068.0,1.0%,73.0
Boone,42.4%,8286.0,57.0%,11132.0,0.6%,123.0
Brown,34.6%,895.0,65.0%,1679.0,0.4%,11.0
Bureau,44.5%,7961.0,54.9%,9822.0,0.7%,119.0
Calhoun,50.5%,1367.0,48.7%,1317.0,0.8%,22.0
Carroll,43.5%,3537.0,55.7%,4534.0,0.8%,64.0
Cass,43.7%,2492.0,55.5%,3163.0,0.8%,45.0
Champaign,50.4%,41524.0,48.4%,39896.0,1.2%,1014.0
Christian,40.0%,6112.0,59.2%,9044.0,0.7%,111.0
Clark,35.9%,2877.0,63.5%,5082.0,0.6%,48.0
Clay,32.1%,2101.0,67.4%,4416.0,0.6%,37.0
Clinton,39.7%,6797.0,59.7%,10219.0,0.7%,115.0
Coles,42.0%,9566.0,57.1%,13015.0,0.9%,199.0
Cook,70.2%,1439724.0,29.1%,597405.0,0.6%,12305.0
Crawford,34.2%,3194.0,65.2%,6083.0,0.6%,55.0
Cumberland,34.4%,1862.0,64.6%,3497.0,1.1%,57.0
DeKalb,47.3%,19263.0,51.7%,21095.0,1.0%,410.0
De Witt,36.4%,2836.0,63.1%,4920.0,0.5%,42.0
Douglas,32.4%,2767.0,66.8%,5702.0,0.8%,71.0
DuPage,44.8%,180097.0,54.4%,218902.0,0.9%,3447.0
Edgar,36.7%,3093.0,62.4%,5258.0,0.9%,78.0
Edwards,27.6%,930.0,71.7%,2412.0,0.7%,22.0
Effingham,27.0%,4388.0,72.3%,11774.0,0.7%,116.0
Fayette,37.4%,3571.0,61.6%,5880.0,1.0%,98.0
Ford,29.5%,1912.0,69.6%,4511.0,0.9%,56.0
Franklin,45.6%,8816.0,53.7%,10388.0,0.8%,148.0
Fulton,53.3%,9080.0,45.9%,7818.0,0.8%,137.0
Gallatin,48.8%,1573.0,50.2%,1619.0,1.0%,33.0
Greene,40.5%,2457.0,58.7%,3559.0,0.9%,52.0
Grundy,42.7%,8463.0,56.5%,11198.0,0.9%,170.0
Hamilton,40.2%,1814.0,58.8%,2653.0,1.0%,47.0
Hancock,40.2%,3975.0,59.0%,5837.0,0.9%,87.0
Hardin,37.9%,923.0,61.6%,1501.0,0.5%,13.0
Henderson,54.6%,2269.0,44.7%,1857.0,0.7%,27.0
Henry,47.1%,11877.0,52.3%,13212.0,0.6%,152.0
Iroquois,27.7%,3832.0,71.7%,9914.0,0.6%,89.0
Jackson,55.4%,14300.0,43.3%,11190.0,1.3%,336.0
Jasper,33.4%,1781.0,66.1%,3529.0,0.5%,26.0
Jefferson,39.6%,6713.0,59.9%,10160.0,0.4%,75.0
Jersey,45.3%,4597.0,53.6%,5435.0,1.0%,105.0
Jo Daviess,45.8%,5311.0,53.3%,6174.0,0.9%,99.0
Johnson,30.9%,1813.0,68.2%,3997.0,0.9%,55.0
Kane,44.2%,75922.0,55.0%,94359.0,0.8%,1434.0
Kankakee,44.4%,20003.0,54.9%,24739.0,0.7%,294.0
Kendall,38.2%,12374.0,61.0%,19774.0,0.8%,254.0
Knox,54.2%,13403.0,45.0%,11111.0,0.8%,194.0
Lake,48.8%,134352.0,50.5%,139081.0,0.7%,1862.0
LaSalle,47.8%,24263.0,51.5%,26101.0,0.7%,365.0
Lawrence,37.4%,2518.0,61.9%,4162.0,0.7%,49.0
Lee,40.4%,6416.0,58.6%,9307.0,1.0%,153.0
Livingston,35.1%,5632.0,64.3%,10316.0,0.6%,91.0
Logan,31.7%,4273.0,67.7%,9112.0,0.6%,82.0
McDonough,47.7%,7119.0,51.3%,7656.0,1.0%,154.0
McHenry,39.3%,50330.0,59.7%,76412.0,0.9%,1206.0
McLean,41.7%,29877.0,57.6%,41276.0,0.7%,467.0
Macon,45.1%,23341.0,54.3%,28118.0,0.6%,287.0
Macoupin,49.1%,11193.0,50.1%,11413.0,0.8%,179.0
Madison,51.3%,63399.0,48.0%,59384.0,0.7%,895.0
Marion,44.7%,7694.0,54.7%,9413.0,0.7%,117.0
Marshall,42.6%,2806.0,56.7%,3734.0,0.7%,44.0
Mason,44.8%,3215.0,54.4%,3907.0,0.8%,61.0
Massac,37.8%,2805.0,61.7%,4578.0,0.6%,41.0
Menard,32.5%,2137.0,67.1%,4408.0,0.4%,29.0
Mercer,50.3%,4512.0,49.1%,4405.0,0.6%,57.0
Monroe,41.5%,6788.0,57.8%,9468.0,0.7%,114.0
Montgomery,46.2%,5979.0,53.0%,6851.0,0.8%,100.0
Morgan,37.2%,5650.0,61.9%,9392.0,0.9%,138.0
Moultrie,36.9%,2388.0,62.3%,4028.0,0.8%,50.0
Ogle,37.4%,9018.0,61.9%,14918.0,0.6%,155.0
Peoria,49.7%,41121.0,49.6%,41051.0,0.7%,599.0
