Ensemble,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Anderson HS,0.0,1.0,0.0,1.0
Ayala HS,0.0,0.0,1.0,1.0
Bear Creek HS,0.0,1.0,0.0,1.0
Clayton HS,1.0,1.0,1.0,3.0
Daphne HS,0.0,0.0,1.0,1.0
Diamond Bar HS,0.0,1.0,0.0,1.0
Golden HS,1.0,0.0,1.0,2.0
Goshen HS,1.0,0.0,0.0,1.0
Heritage HS,1.0,0.0,0.0,1.0
Hickory HS,1.0,0.0,1.0,2.0
Kettering Fairmont HS,0.0,0.0,1.0,1.0
Mansfield HS,2.0,1.0,1.0,4.0
Mission Viejo HS,1.0,0.0,0.0,1.0
Modesto HS,0.0,1.0,2.0,3.0
Muscle Shoals HS,1.0,0.0,1.0,2.0
Naugatuck HS,0.0,0.0,1.0,1.0
New Albany HS,1.0,1.0,0.0,2.0
North Gwinnett HS,0.0,0.0,1.0,1.0
Pendleton Heights HS,0.0,0.0,1.0,1.0
Portsmouth HS,2.0,5.0,0.0,7.0
Salem HS,0.0,1.0,0.0,1.0
Union HS,1.0,0.0,0.0,1.0
