State,Name,Hometown,Age 1,Height
Alabama,Keisha Walding,"Dothan, AL",24.0,"5'10"""
Alaska,Courtney Erin Carroll,"Fairbanks, AK",25.0,"5'7"""
Arizona,Kimberly Joiner,"Gilbert, AZ",22.0,"5'8"""
Arkansas,Rachel Howells,"Alma, AR",21.0,"5'10"""
California,Raquel Beezley,"Barstow, CA",21.0,"5'8"""
Colorado,Beckie Hughes,"Grand Junction, CO",21.0,5'9
Connecticut,Jacqueline Honulik,"Fairfield, CT",21.0,"5'8"""
Delaware,Vincenza Carrieri-Russo,"Newark, DE",23.0,"5'7"""
District of Columbia,Chelsey Sophia Rodgers,"Washington, DC",24.0,"5'8"""
Florida,Jessica Rafalowski,"DeLand, FL",22.0,"5'10"""
Georgia,Amanda Kozak,"Warner Robins, GA",23.0,"5'10"""
Hawaii,Jonelle Layfield,"Kane'ohe, HI",23.0,"5'10"""
Idaho,Tracey Brown,"Post Falls, ID",21.0,5'9
Illinois,Shanon Lersch,"Chicago, IL",25.0,"5'10"""
Indiana,Brittany Mason,"Anderson, IN",21.0,"5'10"""
Iowa,Abbey Curran,"Davenport, IA",20.0,"5'5"""
Kansas,Michelle Gillespie,"Mission Hills, KS",22.0,"5'11"""
Kentucky,Alysha Harris,"Lexington, KY",20.0,"5'4"""
Louisiana,Michelle Berthelot,"Hammond, LA",24.0,"5'6"""
Maine,Kaetlin Parent,"Van Buren, ME",20.0,"5'8"""
Maryland,Casandra Tressler,"Damascus, MD",22.0,5'9
Massachusetts,Jacqueline Bruno,"Assonet, MA",23.0,"5'10"""
Michigan,Elisabeth Crawford,"Canton, MI",25.0,"5'8"""
Minnesota,Kaylee Unverzagt,"Eagan, MN",20.0,"5'10"""
Mississippi,Leah Laviano,"Ellisville, MS",20.0,"5'4"""
Missouri,Candice Crawford,"Columbia, MO",21.0,"5'8"""
Montana,Tori Wanty,"Shelby, MT",21.0,"5'4"""
Nebraska,Micaela Johnson,"Omaha, NE",23.0,"5'5"""
Nevada,Veronica Grabowski,"Henderson, NV",23.0,"5'6"""
New Hampshire,Breanne Silvi,"Nashua, NH",24.0,"5'4"""
New Jersey,Tiffany Andrade,"Linden, NJ",22.0,"5'5"""
New Mexico,Raelene Aguilar,"Sunland Park, NM",26.0,"5'8"""
New York,Danielle Roundtree,"New York, NY",20.0,"5'11"""
North Carolina,Andrea Duke,"Saluda, NC",26.0,"5'11"""
North Dakota,Stephanie Tollefson,"New Rockford, ND",21.0,"5'8"""
Ohio,Monica Day,"Grove City, OH",25.0,5'9
Oklahoma,Lindsey Jo Harrington,"Frederick, OK",22.0,"5'10"""
Oregon,Mary Horch,"Corvallis, OR",24.0,"5'7"""
Pennsylvania,LauRen Merola,"Pittsburgh, PA",23.0,"5'8"""
Rhode Island,Amy Diaz,"Johnston, RI",23.0,"5'6"""
South Carolina,Jamie Hill,"Columbia, SC",24.0,"5'6"""
South Dakota,Charlie Buhler,"Mitchell, SD",20.0,"5'5"""
Tennessee,Hailey Laine Brown,"Franklin, TN",25.0,5'9
Texas,Crystle Stewart,"Missouri City, TX",26.0,5'9
Utah,Julia Bachison,"North Ogden, UT",24.0,"5'7"""
Vermont,Kim Tantlinger,"Burlington, VT",22.0,"5'7"""
Virginia,Tori Hall,"Roanoke, VA",21.0,"5'8"""
Washington,Michelle Font,"Renton, WA",26.0,"5'7"""
West Virginia,Skylene Montgomery,"Parkersburg, WV",23.0,"5'7"""
Wisconsin,Michelyn Cynthia Butler,"Madison, WI",25.0,"5'8"""
Wyoming,Cassie Shore,"Casper, WY",22.0,"5'5"""
