Year,League,Position,Leading Scorer,Goals
1946–47,Football League Division 3 (North),3rd of 22,Dick Yates,36.0
1947–48,Football League Division 3 (North),20th of 22,Tommy Burden,12.0
1948–49,Football League Division 3 (North),18th of 22,Albert Burgess / Albert Foulds,14.0
1949–50,Football League Division 3 (North),12th of 22,Albert Burgess,24.0
1950–51,Football League Division 3 (North),13th of 24,Albert Burgess,22.0
1951–52,Football League Division 3 (North),19th of 24,Roger Kirkpatrick,10.0
1952–53,Football League Division 3 (North),20th of 24,Don Travis,24.0
1953–54,Football League Division 3 (North),24th of 24,Don Travis,12.0
1954–55,Football League Division 3 (North),24th of 24,Ron Hughes,9.0
1955–56,Football League Division 3 (North),17th of 24,George Allman,12.0
1956–57,Football League Division 3 (North),21st of 24,Billy Foulkes,11.0
1957–58,Football League Division 3 (North),21st of 24,Barry Jepson,23.0
1958–59,Football League Division 4,13th of 24,Norman Bullock,12.0
1959–60,Football League Division 4,20th of 24,Walter Kelly,12.0
1960–61,Football League Division 4,24th of 24,Ron Davies,23.0
1961–62,Football League Division 4,23rd of 23,Ron Davies,14.0
1962–63,Football League Division 4,21st of 24,Peter Fitzgerald,8.0
1963–64,Football League Division 4,12th of 24,Gary Talbot,23.0
1964–65,Football League Division 4,8th of 24,Gary Talbot,28.0
1965–66,Football League Division 4,7th of 24,Elfed Morris,24.0
1966–67,Football League Division 4,19th of 24,Les Jones,13.0
1967–68,Football League Division 4,22nd of 24,Eddie Loyden,22.0
1968–69,Football League Division 4,14th of 24,Gary Talbot,22.0
1969–70,Football League Division 4,11th of 24,Derek Draper,12.0
1970–71,Football League Division 4,5th of 24,Alan Tarbuck,18.0
1971–72,Football League Division 4,20th of 24,Eddie Loyden,11.0
1972–73,Football League Division 4,15th of 24,Derek Draper,13.0
1973–74,Football League Division 4,7th of 24,John James,21.0
1974–75,Football League Division 4,4th of 24 Promoted,Terry Owen,14.0
1975–76,Football League Division 3,17th of 24,Terry Owen,11.0
1976–77,Football League Division 3,13th of 24,Paul Crossley,14.0
1977–78,Football League Division 3,5th of 24,Paul Crossley,9.0
1978–79,Football League Division 3,16th of 24,Ian Edwards,20.0
1979–80,Football League Division 3,9th of 24,Ian Rush,14.0
1980–81,Football League Division 3,18th of 24,Steve Ludlam / Trevor Phillips,7.0
1981–82,Football League Division 3,24th of 24 Relegated,Gary Simpson,12.0
1982–83,Football League Division 4,13th of 24,John Thomas,20.0
1983–84,Football League Division 4,24th of 24,Peter Zelem / Andy Holden,7.0
1984–85,Football League Division 4,16th of 24,Stuart Rimmer,14.0
1985–86,Football League Division 4,2nd of 24 Promoted,Stuart Rimmer,16.0
1986–87,Football League Division 3,15th of 24,Stuart Rimmer / Gary Bennett,13.0
1987–88,Football League Division 3,15th of 24,Stuart Rimmer,24.0
1988–89,Football League Division 3,8th of 24,Carl Dale,22.0
1989–90,Football League Division 3,16th of 24,Carl Dale,8.0
1990–91,Football League Division 3,19th of 24,Carl Dale,10.0
1991–92,Football League Division 3,18th of 24,Stuart Rimmer,13.0
1992–93,Football League Division 2,24th of 24 Relegated,Stuart Rimmer,20.0
1993–94,Football League Division 3,2nd of 24 Promoted,David Pugh,12.0
1994–95,Football League Division 2,23rd of 24 Relegated,Andy Milner,8.0
1995–96,Football League Division 3,8th of 24,Stuart Rimmer / Chris Priest,13.0
1996–97,Football League Division 3,6th of 24,Andy Milner,12.0
1997–98,Football League Division 3,14th of 24,Gary Bennett,11.0
1998–99,Football League Division 3,14th of 24,John Murphy,12.0
1999–2000,Football League Division 3,24th of 24 Relegated,Luke Beckett,14.0
2000–01,Football Conference,8th of 24,Mark Beesley,11.0
2001–02,Football Conference,14th of 24,Mark Beesley,16.0
2002–03,Football Conference,4th of 24,Daryl Clare,17.0
2003–04,Football Conference,1st of 24 Promoted,Daryl Clare,29.0
2004–05,Football League Division 2,20th of 24,Michael Branch,11.0
2005–06,Football League Division 2,15th of 24,Ryan Lowe,10.0
2006–07,Football League Division 2,18th of 24,Jon Walters,9.0
2007–08,Football League Division 2,22nd of 24,Kevin Ellison,11.0
2008–09,Football League Division 2,23rd of 24 Relegated,Ryan Lowe,16.0
2009–10,Football Conference,Expelled,Nick Chadwick,7.0
