Round,Pick #,Overall,Name,Position,College
2.0,13.0,40.0,Shane Curry,Defensive End,Miami (FL)
3.0,14.0,69.0,Dave McCloughan,Defensive Back,Colorado
4.0,13.0,96.0,Mark Vander Poel,Offensive Tackle,Colorado
5.0,14.0,125.0,Kerry Cash,Tight End,Texas
6.0,13.0,152.0,Mel Agee,Defensive Tackle,Illinois
7.0,14.0,181.0,James Bradley,Wide Receiver,Michigan State
8.0,13.0,208.0,Tim Bruton,Tight End,Missouri
9.0,13.0,236.0,Howard Griffith,Fullback,Illinois
10.0,13.0,263.0,Frank Giannetti,Defensive End,Penn State
11.0,14.0,292.0,Jerry Crafts,Offensive Tackle,Louisville
12.0,13.0,319.0,Rob Luedeke,Center,Penn State
