Season,Div.,Tms.,Pos.,Attendance/G,Emperor's Cup
1999.0,J2,10.0,8.0,3385.0,3rd Round
2000.0,J2,11.0,6.0,3714.0,3rd Round
2001.0,J2,12.0,10.0,3479.0,4th Round
2002.0,J2,12.0,9.0,3890.0,3rd Round
2003.0,J2,12.0,12.0,3172.0,1st Round
2004.0,J2,12.0,11.0,3610.0,4th Round
2005.0,J2,12.0,8.0,7855.0,4th Round
2006.0,J2,13.0,4.0,7465.0,4th Round
2007.0,J2,13.0,8.0,6114.0,5th Round
2008.0,J2,15.0,6.0,7261.0,Quarter-final
2009.0,J2,18.0,5.0,5939.0,4th Round
2010.0,J2,19.0,9.0,6633.0,3rd Round
2011.0,J2,20.0,2.0,7731.0,2nd Round
2012.0,J1,18.0,5.0,11991.0,2nd Round
