Driver,Seasons,Entries,3rd places,Percentage
Rubens Barrichello,1993 – 2011,326.0,28.0,8.58%
Kimi Räikkönen,2001 – 2013,194.0,28.0,14.43%
Fernando Alonso,"2001 , 2003 – 2013",215.0,26.0,12.09%
David Coulthard,1994 – 2008,247.0,23.0,9.31%
Gerhard Berger,1984 – 1997,210.0,21.0,10.00%
Michael Schumacher,"1991 – 2006 , 2010 – 2012",308.0,21.0,6.81%
Carlos Reutemann,1972 – 1982,146.0,20.0,13.69%
Alain Prost,"1980 – 1991 , 1993",202.0,20.0,9.90%
Jenson Button,2000 – 2013,247.0,19.0,7.69%
Nelson Piquet,1978 – 1991,207.0,17.0,8.21%
