District,2010 Population (000),2008 GDP (USD bn) a,2008 GDP per capita (USD) a,Agri culture b,Mining b,Manufac turing b,Services & cons truction b,Exports (USD mn) 2011,Median mo. salary (USD) a e,Vehicles (per 1000) d,Income poverty f,Structural poverty g
City of Buenos Aires,2890.0,118.0,40828.0,0.3,1.0,12.9,85.8,426,1618.0,528.0,7.3,7.8
Buenos Aires Province,15625.0,161.0,10303.0,4.5,0.1,21.3,74.1,28134,1364.0,266.0,16.2,15.8
Catamarca,368.0,2.331,6009.0,3.6,20.8,12.1,63.5,1596,1241.0,162.0,24.3,21.5
Chaco,1055.0,2.12,2015.0,12.6,0.0,7.5,79.9,602,1061.0,137.0,35.4,33.0
Chubut,509.0,7.11,15422.0,6.9,21.3,10.0,61.8,3148,2281.0,400.0,4.6,15.5
Córdoba,3309.0,33.239,10050.0,10.6,0.2,14.0,75.2,10635,1200.0,328.0,14.8,13.0
Corrientes,993.0,4.053,4001.0,12.6,0.0,8.2,79.2,230,1019.0,168.0,31.5,28.5
Entre Ríos,1236.0,7.137,5682.0,11.9,0.3,11.6,76.2,1908,1063.0,280.0,13.0,17.6
Formosa,530.0,1.555,2879.0,7.6,1.5,6.4,84.5,40,1007.0,107.0,30.7,33.6
Jujuy,673.0,2.553,3755.0,5.5,0.7,14.6,79.2,456,1123.0,153.0,30.0,28.8
La Pampa,319.0,2.0,5987.0,19.0,3.7,5.3,72.0,378,1164.0,364.0,13.6,10.3
La Rioja,334.0,1.419,4162.0,3.9,0.1,16.8,79.2,281,1040.0,172.0,22.0,20.4
Mendoza,1739.0,18.8,10758.0,5.4,6.1,17.5,71.0,1862,1153.0,313.0,12.2,15.4
Misiones,1102.0,4.044,3751.0,6.7,0.0,13.0,80.3,536,971.0,153.0,32.6,27.1
Neuquén,551.0,14.398,26273.0,0.7,42.8,2.9,53.6,353,2211.0,339.0,11.2,17.0
Río Negro,639.0,4.924,8247.0,4.9,8.4,7.3,79.4,670,1309.0,285.0,20.6,17.9
Salta,1214.0,5.165,4220.0,8.1,7.6,10.4,73.9,1332,1045.0,139.0,29.7,31.6
San Juan,681.0,3.927,5642.0,8.1,0.3,15.9,75.7,2470,1293.0,216.0,18.4,17.4
San Luis,432.0,2.444,5580.0,4.9,0.5,42.4,52.2,735,1288.0,245.0,22.0,15.6
Santa Cruz,274.0,6.892,30496.0,4.4,47.1,2.3,46.2,1857,2646.0,432.0,3.6,10.4
Santa Fe,3195.0,37.5,10670.0,10.1,0.0,17.4,72.5,17804,1265.0,299.0,18.2,14.8
Santiago del Estero,874.0,2.598,3003.0,11.5,0.1,6.2,82.2,1082,945.0,103.0,31.0,31.3
Tierra del Fuego,127.0,2.606,20682.0,4.7,18.5,18.6,58.2,443,2267.0,478.0,6.4,14.1
Tucumán,1448.0,5.807,3937.0,6.0,0.1,12.6,81.3,1031,973.0,146.0,27.7,23.9
Argentina,40117.0,328.696,8269.0,5.0,2.7,16.3,76.0,83950 c,1301.0,284.0,17.8,17.7
