Rider,Manufacturer,Laps,Time/Retired,Grid
Casey Stoner,Ducati,27.0,41:12.244,3.0
Loris Capirossi,Ducati,27.0,+6.763,5.0
Valentino Rossi,Yamaha,27.0,+10.038,2.0
Dani Pedrosa,Honda,27.0,+11.663,1.0
Alex Barros,Ducati,27.0,+19.475,7.0
Randy de Puniet,Kawasaki,27.0,+27.313,6.0
John Hopkins,Suzuki,27.0,+29.243,14.0
Chris Vermeulen,Suzuki,27.0,+34.833,16.0
Colin Edwards,Yamaha,27.0,+35.073,11.0
Marco Melandri,Honda,27.0,+36.971,12.0
Carlos Checa,Honda,27.0,+37.721,13.0
Anthony West,Kawasaki,27.0,+38.426,10.0
Shinya Nakano,Honda,27.0,+47.430,8.0
Sylvain Guintoli,Yamaha,27.0,+54.324,9.0
Toni Elías,Honda,27.0,+1:10.471,18.0
Makoto Tamada,Yamaha,27.0,+1:12.904,15.0
Kurtis Roberts,KR212V,27.0,+1:13.020,19.0
Nicky Hayden,Honda,8.0,Retirement,4.0
Chaz Davies,Ducati,8.0,Retirement,17.0
