Year,Pick,Player,Position,College
1995.0,2.0,Tony Boselli,Offensive tackle,USC
1995.0,19.0,James Stewart,Running back,Tennessee
1996.0,2.0,Kevin Hardy,Linebacker,Illinois
1997.0,21.0,Renaldo Wynn,Defensive tackle,Notre Dame
1998.0,9.0,Fred Taylor,Running back,Florida
1998.0,25.0,Donovin Darius,Safety,Syracuse
1999.0,26.0,Fernando Bryant,Defensive back,Alabama
2000.0,29.0,R. Jay Soward,Wide receiver,USC
2001.0,13.0,Marcus Stroud,Defensive tackle,Georgia
2002.0,9.0,John Henderson,Defensive tackle,Tennessee
2003.0,7.0,Byron Leftwich,Quarterback,Marshall
2004.0,9.0,Reggie Williams,Wide receiver,Washington
2005.0,21.0,Matt Jones,Wide receiver,Arkansas
2006.0,28.0,Marcedes Lewis,Tight end,UCLA
2007.0,21.0,Reggie Nelson,Defensive back,Florida
2008.0,8.0,Derrick Harvey,Defensive end,Florida
2009.0,8.0,Eugene Monroe,Offensive tackle,Virginia
2010.0,10.0,Tyson Alualu,Defensive tackle,California
2011.0,10.0,Blaine Gabbert,Quarterback,Missouri
2012.0,5.0,Justin Blackmon,Wide receiver,Oklahoma State
2013.0,2.0,Luke Joeckel,Offensive tackle,Texas A&M
