Rank,Airport,Total Passengers,% Change 2005/2006,International Passengers,Domestic Passengers,Transit Passengers,Aircraft Movements,Freight (Metric Tonnes)
1.0,London Heathrow,67527923.0,0.6%,61345841.0,5993386.0,188696.0,477048.0,1263128.0
2.0,London Gatwick,34163579.0,4.2%,30018783.0,4061562.0,83234.0,263363.0,211857.0
3.0,London Stansted,23687013.0,7.7%,21002260.0,2678092.0,6661.0,206693.0,224312.0
4.0,Manchester,22442855.0,0.2%,18601604.0,3522158.0,319093.0,229729.0,148957.0
5.0,London Luton,9425908.0,3.0%,7875084.0,1539745.0,11079.0,116131.0,17993.0
6.0,Birmingham Airport,9147384.0,2.5%,7532792.0,1523212.0,91380.0,119490.0,14681.0
7.0,Glasgow International,8848755.0,0.6%,4245338.0,4575124.0,28293.0,110034.0,6289.0
8.0,Edinburgh,8611345.0,1.8%,2743220.0,5863431.0,4694.0,126914.0,36389.0
9.0,Bristol,5757963.0,9.6%,4297696.0,1412526.0,47741.0,84583.0,32.0
10.0,Newcastle,5431976.0,4.4%,3624228.0,1783134.0,24614.0,81655.0,306.0
11.0,Belfast International,5038692.0,4.4%,1533065.0,3482199.0,23428.0,77652.0,38417.0
12.0,Liverpool,4963776.0,12.5%,4078245.0,884215.0,1316.0,91263.0,5724.0
13.0,East Midlands,4727996.0,13.0%,4048071.0,672748.0,7177.0,88592.0,272303.0
14.0,Aberdeen,3164042.0,10.9%,1325989.0,1836635.0,1418.0,116971.0,4022.0
15.0,Leeds Bradford,2792686.0,7.0%,2154982.0,632235.0,5469.0,66921.0,101.0
16.0,Glasgow Prestwick,2397412.0,0.4%,1824523.0,570405.0,2484.0,48189.0,28537.0
17.0,London City,2358184.0,18.1%,1738346.0,619813.0,25.0,79436.0,0.0
18.0,Belfast City,2105769.0,5.9%,51948.0,2053649.0,172.0,39411.0,827.0
19.0,Cardiff,2024428.0,13.8%,1628245.0,364852.0,31331.0,42055.0,2212.0
20.0,Southampton,1912979.0,4.2%,619219.0,1293483.0,277.0,55786.0,195.0
