District,Incumbent,Party,Elected,Status
1.0,Tim Bishop,Democrat,2002.0,Running
2.0,Steve Israel,Democrat,2000.0,Running
3.0,Peter King,Republican,1992.0,Running
4.0,Carolyn McCarthy,Democrat,1996.0,Running
5.0,Gary Ackerman,Democrat,1983.0,Running
6.0,Gregory W. Meeks,Democrat,1998.0,Running
7.0,Joseph Crowley,Democrat,1998.0,Running
8.0,Jerrold Nadler,Democrat,1992.0,Running
9.0,Anthony Weiner,Democrat,1998.0,Running
10.0,Ed Towns,Democrat,1982.0,Running
11.0,Major Owens,Democrat,1982.0,Running
12.0,Nydia Velazquez,Democrat,1992.0,Running
13.0,Vito Fossella,Republican,1997.0,Running
14.0,Carolyn Maloney,Democrat,1992.0,Running
15.0,Charles B. Rangel,Democrat,1970.0,Running
16.0,Jose Serrano,Democrat,1990.0,Running
17.0,Eliot Engel,Democrat,1988.0,Running
18.0,Nita Lowey,Democrat,1988.0,Running
19.0,Sue Kelly,Republican,1994.0,Running
20.0,John Sweeney,Republican,1998.0,Running
21.0,Mike McNulty,Democrat,1988.0,Running
22.0,Maurice Hinchey,Democrat,1992.0,Running
23.0,John McHugh,Republican,1992.0,Running
24.0,Sherwood Boehlert,Republican,1982.0,Running
25.0,Jim Walsh,Republican,1988.0,Running
26.0,Tom Reynolds,Republican,1998.0,Running
27.0,Jack Quinn,Republican,1992.0,Retiring
28.0,Louise Slaughter,Democrat,1986.0,Running
29.0,Amo Houghton,Republican,1986.0,Retiring
